date,open,high,low,close,volume
1679065200000,4.34,4.383,4.319,4.377,500.7
1679066100000,4.377,4.395,4.345,4.354,495.7
1679067000000,4.354,4.371,4.336,4.345,568.7
1679067900000,4.345,4.418,4.343,4.396,513.9
1679068800000,4.396,4.417,4.37,4.411,387.3
1679069700000,4.411,4.415,4.388,4.402,342.8
1679070600000,4.402,4.411,4.342,4.366,388.8
1679071500000,4.366,4.369,4.326,4.332,475.7
1679072400000,4.332,4.453,4.33,4.449,400.4
1679073300000,4.449,4.47,4.428,4.441,277.1
1679074200000,4.441,4.441,4.396,4.41,273.3
1679075100000,4.41,4.451,4.406,4.451,271.0
1679076000000,4.451,4.459,4.385,4.392,449.0
1679076900000,4.392,4.395,4.367,4.374,509.9
1679077800000,4.374,4.425,4.367,4.409,450.2
1679078700000,4.409,4.471,4.405,4.468,458.9
1679079600000,4.468,4.498,4.44,4.497,365.9
1679080500000,4.497,4.638,4.493,4.625,453.2
1679081400000,4.625,4.625,4.55,4.565,359.3
1679082300000,4.565,4.608,4.547,4.601,298.4
1679083200000,4.601,4.605,4.553,4.586,448.5
1679084100000,4.586,4.622,4.582,4.588,469.2
1679085000000,4.588,4.591,4.544,4.555,391.6
1679085900000,4.555,4.605,4.552,4.594,427.3
1679086800000,4.594,4.606,4.573,4.603,309.4
1679087700000,4.603,4.64,4.601,4.608,317.0
1679088600000,4.608,4.74,4.596,4.715,434.4
1679089500000,4.715,4.741,4.629,4.703,573.7
1679090400000,4.703,4.713,4.671,4.68,562.0
1679091300000,4.68,4.731,4.68,4.697,562.0
1679092200000,4.697,4.726,4.687,4.718,551.8
1679093100000,4.718,4.74,4.693,4.718,527.3
1679094000000,4.718,4.775,4.717,4.737,539.8
1679094900000,4.737,4.793,4.704,4.728,591.2
1679095800000,4.728,4.812,4.728,4.774,477.8
1679096700000,4.774,4.847,4.769,4.832,596.8
1679097600000,4.832,4.856,4.768,4.777,506.4
1679098500000,4.777,4.819,4.726,4.801,854.0
1679099400000,4.801,4.885,4.772,4.852,742.3
1679100300000,4.852,4.979,4.842,4.919,1071.6
1679101200000,4.919,4.996,4.885,4.983,1041.6
1679102100000,4.983,4.999,4.913,4.954,904.3
1679103000000,4.954,4.988,4.866,4.9,834.5
1679103900000,4.9,4.92,4.85,4.86,779.3
1679104800000,4.86,4.882,4.807,4.852,393.6
1679105700000,4.852,4.873,4.822,4.856,364.4
1679106600000,4.856,4.892,4.812,4.883,477.6
1679107500000,4.883,4.885,4.787,4.859,480.6
1679108400000,4.859,4.885,4.814,4.842,414.1
1679109300000,4.842,4.913,4.836,4.884,349.7
1679110200000,4.884,4.931,4.872,4.894,351.1
1679111100000,4.894,4.905,4.851,4.853,271.8
1679112000000,4.853,4.891,4.811,4.827,420.7
1679112900000,4.827,4.864,4.816,4.849,334.0
1679113800000,4.849,4.859,4.799,4.806,351.3
1679114700000,4.806,4.823,4.757,4.762,328.4
1679115600000,4.762,4.791,4.74,4.75,370.1
1679116500000,4.75,4.791,4.75,4.772,297.7
1679117400000,4.772,4.797,4.736,4.78,328.5
1679118300000,4.78,4.797,4.737,4.753,362.5
1679119200000,4.753,4.769,4.711,4.752,488.5
1679120100000,4.752,4.763,4.723,4.763,372.2
1679121000000,4.763,4.777,4.728,4.739,359.5
1679121900000,4.739,4.799,4.734,4.772,460.8
1679122800000,4.772,4.792,4.745,4.783,439.3
1679123700000,4.783,4.803,4.757,4.762,497.1
1679124600000,4.762,4.829,4.758,4.813,505.0
1679125500000,4.813,4.851,4.794,4.818,470.1
1679126400000,4.818,4.825,4.683,4.701,706.9
1679127300000,4.701,4.731,4.65,4.703,723.5
1679128200000,4.703,4.742,4.689,4.716,897.9
1679129100000,4.716,4.739,4.684,4.709,561.8
1679130000000,4.709,4.719,4.655,4.689,571.7
1679130900000,4.689,4.715,4.662,4.669,706.2
1679131800000,4.669,4.742,4.662,4.722,2158.0
1679132700000,4.722,4.746,4.702,4.725,613.9
1679133600000,4.725,4.74,4.699,4.726,445.9
1679134500000,4.726,4.755,4.707,4.717,494.3
1679135400000,4.717,4.753,4.703,4.734,374.2
1679136300000,4.734,4.754,4.704,4.729,452.0
1679137200000,4.729,4.774,4.71,4.729,941.7
1679138100000,4.729,4.767,4.717,4.757,534.7
1679139000000,4.757,4.786,4.739,4.748,524.0
1679139900000,4.748,4.782,4.735,4.761,593.2
1679140800000,4.761,4.781,4.703,4.714,428.5
1679141700000,4.714,4.733,4.677,4.702,292.2
1679142600000,4.702,4.748,4.699,4.718,455.4
1679143500000,4.718,4.768,4.713,4.74,1013.7
1679144400000,4.74,4.763,4.707,4.748,477.8
1679145300000,4.748,4.772,4.678,4.701,704.5
1679146200000,4.701,4.724,4.657,4.707,475.8
1679147100000,4.707,4.753,4.695,4.705,467.7
1679148000000,4.705,4.756,4.697,4.721,515.6
1679148900000,4.721,4.759,4.706,4.747,513.0
1679149800000,4.747,4.764,4.682,4.684,394.5
1679150700000,4.684,4.714,4.669,4.684,337.5
1679151600000,4.684,4.693,4.624,4.637,540.1
1679152500000,4.637,4.663,4.598,4.632,408.8
1679153400000,4.632,4.643,4.499,4.521,630.6
1679154300000,4.521,4.581,4.51,4.541,377.3
1679155200000,4.541,4.591,4.523,4.56,1039.3
1679156100000,4.56,4.572,4.496,4.51,596.0
1679157000000,4.51,4.595,4.397,4.585,1372.9
1679157900000,4.585,4.624,4.558,4.593,1345.1
1679158800000,4.593,4.619,4.537,4.564,1494.6
1679159700000,4.564,4.565,4.472,4.477,3147.6
1679160600000,4.477,4.531,4.477,4.511,283.2
1679161500000,4.511,4.569,4.499,4.553,201.8
1679162400000,4.553,4.582,4.524,4.574,154.6
1679163300000,4.574,4.594,4.549,4.574,121.8
1679164200000,4.574,4.619,4.562,4.607,266.0
1679165100000,4.607,4.646,4.584,4.623,274.6
1679166000000,4.623,4.635,4.591,4.598,284.9
1679166900000,4.598,4.633,4.577,4.617,276.2
1679167800000,4.617,4.63,4.574,4.574,464.3
1679168700000,4.574,4.593,4.555,4.574,281.4
1679169600000,4.574,4.591,4.548,4.559,295.1
1679170500000,4.559,4.586,4.549,4.556,393.7
1679171400000,4.556,4.617,4.547,4.61,232.5
1679172300000,4.61,4.624,4.573,4.58,142.2
1679173200000,4.58,4.599,4.559,4.58,130.1
1679174100000,4.58,4.585,4.555,4.577,234.2
1679175000000,4.577,4.58,4.536,4.542,298.1
1679175900000,4.542,4.549,4.501,4.509,595.3
1679176800000,4.509,4.523,4.5,4.503,424.8
1679177700000,4.503,4.55,4.503,4.55,1164.5
1679178600000,4.55,4.55,4.5,4.507,795.1
1679179500000,4.507,4.58,4.507,4.564,508.7
1679180400000,4.564,4.617,4.544,4.544,324.9
1679181300000,4.544,4.584,4.49,4.513,356.1
1679182200000,4.513,4.537,4.446,4.452,480.4
1679183100000,4.452,4.457,4.393,4.439,703.0
1679184000000,4.439,4.58,4.436,4.561,4402.1
1679184900000,4.561,4.626,4.545,4.591,3345.4
1679185800000,4.591,4.632,4.558,4.567,858.3
1679186700000,4.567,4.589,4.544,4.569,434.2
1679187600000,4.569,4.601,4.52,4.539,2283.2
1679188500000,4.539,4.568,4.527,4.548,1124.7
1679189400000,4.548,4.588,4.535,4.548,1747.8
1679190300000,4.548,4.553,4.521,4.532,162.8
1679191200000,4.532,4.575,4.524,4.54,244.4
1679192100000,4.54,4.566,4.512,4.566,1984.3
1679193000000,4.566,4.594,4.547,4.559,583.4
1679193900000,4.559,4.571,4.539,4.546,255.5
1679194800000,4.546,4.557,4.525,4.548,262.5
1679195700000,4.548,4.549,4.513,4.535,235.2
1679196600000,4.535,4.551,4.513,4.541,203.2
1679197500000,4.541,4.598,4.528,4.587,265.5
1679198400000,4.587,4.591,4.557,4.558,255.3
1679199300000,4.558,4.565,4.5,4.515,333.0
1679200200000,4.515,4.532,4.501,4.521,420.5
1679201100000,4.521,4.521,4.489,4.507,403.8
1679202000000,4.507,4.518,4.478,4.494,799.9
1679202900000,4.494,4.495,4.451,4.476,666.4
1679203800000,4.476,4.505,4.45,4.45,534.2
1679204700000,4.45,4.456,4.421,4.427,344.3
1679205600000,4.427,4.463,4.427,4.462,522.1
1679206500000,4.462,4.464,4.406,4.415,2629.3
1679207400000,4.415,4.429,4.369,4.375,2185.8
1679208300000,4.375,4.417,4.367,4.385,4567.0
1679209200000,4.385,4.411,4.31,4.345,5189.6
1679210100000,4.345,4.363,4.329,4.336,585.7
1679211000000,4.336,4.376,4.336,4.356,374.9
1679211900000,4.356,4.372,4.327,4.362,2165.6
1679212800000,4.362,4.382,4.321,4.333,2069.4
1679213700000,4.333,4.39,4.326,4.38,521.2
1679214600000,4.38,4.408,4.353,4.373,241.3
1679215500000,4.373,4.385,4.343,4.355,270.5
1679216400000,4.355,4.366,4.331,4.337,238.5
1679217300000,4.337,4.372,4.33,4.348,172.5
1679218200000,4.348,4.392,4.331,4.384,677.2
1679219100000,4.384,4.386,4.361,4.38,1596.9
1679220000000,4.38,4.38,4.271,4.271,2235.7
1679220900000,4.271,4.344,4.271,4.331,263.5
1679221800000,4.331,4.332,4.291,4.298,394.7
1679222700000,4.298,4.311,4.276,4.295,314.7
1679223600000,4.295,4.311,4.252,4.31,1400.2
1679224500000,4.31,4.347,4.29,4.316,315.0
1679225400000,4.316,4.341,4.306,4.321,408.8
1679226300000,4.321,4.386,4.321,4.372,1490.1
1679227200000,4.372,4.42,4.333,4.41,1811.6
1679228100000,4.41,4.42,4.35,4.365,1185.3
