date,open,high,low,close,volume
1711537200000,0.8466,0.8466,0.8445,0.8451,241.6
1711538100000,0.8451,0.8598,0.8449,0.8563,9039.6
1711539000000,0.8563,0.9056,0.8557,0.8919,15642.9
1711539900000,0.8919,0.8919,0.8628,0.8721,14482.6
1711540800000,0.8721,0.8831,0.8714,0.8792,10115.8
1711541700000,0.8792,0.9097,0.8771,0.9097,12977.1
1711542600000,0.9097,0.9113,0.8878,0.8905,9892.5
1711543500000,0.8905,0.8921,0.8833,0.8875,7913.3
1711544400000,0.8875,0.8987,0.8846,0.8918,10487.4
1711545300000,0.8918,0.8938,0.8766,0.8938,6290.7
1711546200000,0.8938,0.894,0.8696,0.8719,6198.5
1711547100000,0.8719,0.8846,0.8591,0.8647,6511.7
1711548000000,0.8647,0.8743,0.8444,0.8656,8121.6
1711548900000,0.8656,0.8998,0.8602,0.8805,9430.0
1711549800000,0.8805,0.8837,0.8634,0.8637,48002.9
1711550700000,0.8637,0.8772,0.8604,0.876,42928.9
1711551600000,0.876,0.8851,0.862,0.8701,33579.3
1711552500000,0.8701,0.8815,0.8619,0.8719,76692.6
1711553400000,0.8719,0.874,0.8539,0.8541,119703.4
1711554300000,0.8541,0.8562,0.8464,0.8469,53238.2
1711555200000,0.8469,0.8647,0.8469,0.8526,41352.8
1711556100000,0.8526,0.8941,0.8521,0.884,76141.0
1711557000000,0.884,0.8861,0.8729,0.8845,94784.3
1711557900000,0.8845,0.9457,0.8655,0.9027,761225.8
1711558800000,0.9027,0.9254,0.9027,0.9208,148006.3
1711559700000,0.9208,0.9208,0.8905,0.8952,76296.1
1711560600000,0.8952,0.8954,0.8791,0.8953,66975.7
1711561500000,0.8953,0.8956,0.8848,0.891,32069.8
1711562400000,0.891,0.8976,0.8881,0.8963,19474.7
1711563300000,0.8963,0.9001,0.8907,0.8988,42588.8
1711564200000,0.8988,0.915,0.8988,0.9128,70116.9
1711565100000,0.9128,0.9232,0.9065,0.9065,188530.1
1711566000000,0.9065,0.9168,0.8994,0.9071,229036.2
1711566900000,0.9071,0.9119,0.8768,0.8851,171264.2
1711567800000,0.8851,0.8911,0.8634,0.8685,270504.3
1711568700000,0.8685,0.8785,0.8678,0.875,130575.7
1711569600000,0.875,0.8835,0.8747,0.8771,26887.3
1711570500000,0.8771,0.878,0.8686,0.8776,54889.6
