date,open,high,low,close,volume
1712844000000,704.17,704.36,697.93,699.16,7.666
1712847600000,699.16,706.49,626.06,647.24,4249.394
1712851200000,647.24,658.77,618.87,629.88,3455.948
1712854800000,629.88,649.01,629.05,635.5,3064.048
1712858400000,635.5,647.41,632.86,637.24,2432.439
1712862000000,637.24,643.59,622.92,638.96,3772.877
1712865600000,638.96,653.06,631.99,651.72,4209.521
1712869200000,651.72,670.91,641.82,651.02,6657.984
1712872800000,651.02,651.02,622.98,634.57,5779.474
1712876400000,634.57,638.23,623.06,623.67,2704.121
1712880000000,623.67,638.97,605.82,633.6,2091.737
1712883600000,633.6,633.6,611.8,614.18,918.367
1712887200000,614.18,622.51,609.87,617.44,1370.714
1712890800000,617.44,618.64,603.38,614.05,592.373
1712894400000,614.05,629.8,596.6,622.89,1729.888
1712898000000,622.89,639.1,617.56,630.16,845.273
1712901600000,630.16,644.59,623.08,624.71,1554.827
1712905200000,624.71,644.12,624.71,638.41,638.736
1712908800000,638.41,643.73,628.16,631.51,1449.732
1712912400000,631.51,641.45,617.5,624.67,2142.774
1712916000000,624.67,626.8,615.15,621.43,682.312
1712919600000,621.43,621.9,613.56,614.72,636.658
1712923200000,614.72,614.93,586.9,594.33,2704.213
1712926800000,594.33,595.19,556.64,571.91,4704.19
1712930400000,571.91,588.64,570.76,579.39,1973.686
1712934000000,579.39,583.83,567.85,572.82,1937.224
1712937600000,572.82,599.5,572.73,579.79,2291.546
1712941200000,579.79,585.12,556.06,575.39,2255.468
1712944800000,575.39,583.25,467.29,534.35,7244.904
1712948400000,534.35,546.07,523.61,537.91,3136.272
1712952000000,537.91,549.72,523.87,546.71,785.399
1712955600000,546.71,553.51,539.62,550.29,227.447
1712959200000,550.29,552.34,539.79,547.24,232.101
1712962800000,547.24,547.24,536.31,538.03,362.071
1712966400000,538.03,546.67,530.29,532.28,241.383
1712970000000,532.28,534.96,509.51,509.51,1036.122
1712973600000,509.51,534.06,509.51,528.86,460.839
1712977200000,528.86,551.88,527.78,549.52,310.755
1712980800000,549.52,559.74,539.91,553.91,460.953
1712984400000,553.91,571.12,549.36,551.43,906.054
1712988000000,551.43,556.24,544.36,554.3,311.278
1712991600000,554.3,554.7,542.01,542.71,293.613
1712995200000,542.71,550.46,531.84,536.32,473.494
1712998800000,536.32,545.57,536.26,541.18,175.773
1713002400000,541.18,550.7,540.28,546.9,199.984
1713006000000,546.9,551.78,533.22,533.22,320.314
1713009600000,533.22,539.47,526.71,535.79,324.987
1713013200000,535.79,536.44,520.7,523.54,350.153
1713016800000,523.54,525.25,510.0,514.19,507.716
1713020400000,514.19,521.83,509.38,510.07,277.212
1713024000000,510.07,510.5,500.01,501.5,829.746
1713027600000,501.5,501.59,481.25,488.96,1235.977
1713031200000,488.96,529.9,484.09,524.5,1873.583
1713034800000,524.5,524.5,455.65,469.49,4054.678
1713038400000,469.49,475.55,388.0,449.16,11530.82
1713042000000,449.16,474.43,438.15,474.43,1550.069
1713045600000,474.43,530.27,461.99,524.62,1683.174
1713049200000,524.62,539.3,495.21,509.96,7292.773
1713052800000,509.96,513.7,493.68,494.1,732.879
1713056400000,494.1,505.21,483.11,487.74,1054.134
1713060000000,487.74,490.73,478.48,486.3,469.416
1713063600000,486.3,487.52,471.07,486.02,403.381
1713067200000,486.02,498.04,482.68,496.32,444.415
1713070800000,496.32,516.0,494.3,507.49,1095.265
1713074400000,507.49,521.0,503.34,515.13,562.692
1713078000000,515.13,533.57,512.66,524.51,509.44
1713081600000,524.51,526.14,511.54,514.6,276.045
1713085200000,514.6,520.96,513.63,516.42,234.899
1713088800000,516.42,530.87,516.03,523.51,231.477
1713092400000,523.51,528.46,512.91,519.93,333.553
1713096000000,519.93,558.96,519.54,546.68,1314.771
1713099600000,546.68,569.18,538.37,552.66,1629.56
1713103200000,552.66,586.09,550.39,577.75,3604.624
1713106800000,577.75,596.65,573.24,584.2,1835.933
1713110400000,584.2,591.92,569.09,573.65,2643.978
1713114000000,573.65,592.79,554.47,582.54,3749.43
1713117600000,582.54,624.44,578.91,597.74,3408.974
1713121200000,597.74,601.46,585.34,588.22,1391.209
1713124800000,588.22,592.13,572.5,578.53,921.209
1713128400000,578.53,580.49,570.3,576.46,493.897
1713132000000,576.46,609.1,576.46,590.42,1503.674
1713135600000,590.42,600.21,581.69,587.59,731.122
1713139200000,587.59,594.6,577.32,579.18,494.688
1713142800000,579.18,584.78,572.27,578.5,370.914
1713146400000,578.5,578.5,559.35,560.14,561.924
1713150000000,560.14,563.39,554.15,559.37,648.365
1713153600000,559.37,563.88,553.61,557.28,621.1
1713157200000,557.28,560.94,550.78,558.0,566.963
1713160800000,558.0,584.35,552.48,569.14,1174.441
1713164400000,569.14,572.65,561.58,566.63,473.162
1713168000000,566.63,573.71,559.16,562.48,686.966
1713171600000,562.48,564.73,555.73,562.29,1353.903
1713175200000,562.29,576.0,562.0,570.29,226.18
1713178800000,570.29,573.16,561.72,570.14,303.583
1713182400000,570.14,570.14,559.04,560.23,443.894
1713186000000,560.23,568.51,552.31,553.32,766.413
1713189600000,553.32,556.76,541.35,543.72,754.583
1713193200000,543.72,559.11,538.38,558.01,796.061
1713196800000,558.01,559.77,546.84,553.7,403.407
1713200400000,553.7,559.64,540.11,546.13,970.374
1713204000000,546.13,548.0,522.69,526.5,832.437
1713207600000,526.5,542.57,519.04,539.86,562.311
1713211200000,539.86,541.04,527.65,528.31,316.539
1713214800000,528.31,531.57,520.46,530.87,619.702
1713218400000,530.87,538.2,523.87,535.01,224.029
1713222000000,535.01,535.01,523.83,525.87,127.81
1713225600000,525.87,532.34,515.0,520.87,435.218
1713229200000,520.87,531.29,517.03,522.88,341.709
1713232800000,522.88,531.65,518.54,529.02,362.013
1713236400000,529.02,535.46,520.01,522.58,375.381
1713240000000,522.58,524.07,499.8,506.78,702.199
1713243600000,506.78,512.74,503.01,508.31,197.176
1713247200000,508.31,524.7,506.59,521.28,405.321
1713250800000,521.28,526.64,516.7,518.6,475.496
1713254400000,518.6,520.52,510.11,512.5,332.737
1713258000000,512.5,514.87,496.8,498.69,294.133
1713261600000,498.69,503.32,480.32,492.51,944.597
1713265200000,492.51,495.83,479.39,481.54,2144.432
1713268800000,481.54,487.39,449.89,462.21,4334.212
1713272400000,462.21,472.81,456.96,469.53,2701.985
1713276000000,469.53,477.08,465.54,468.16,1085.535
1713279600000,468.16,471.55,454.58,456.97,1646.031
1713283200000,456.97,471.74,456.61,470.42,1294.266
1713286800000,470.42,483.58,463.64,472.57,1871.433
1713290400000,472.57,482.3,470.47,482.3,443.491
1713294000000,482.3,483.86,472.22,478.71,862.309
1713297600000,478.71,487.5,477.22,485.83,486.009
1713301200000,485.83,505.05,484.18,500.19,572.712
1713304800000,500.19,500.19,490.3,495.21,584.637
1713308400000,495.21,504.1,492.55,500.96,767.764
1713312000000,500.96,508.27,493.03,503.37,451.958
1713315600000,503.37,511.16,497.98,502.15,310.254
1713319200000,502.15,507.05,494.36,504.33,372.121
1713322800000,504.33,507.37,496.91,501.92,537.048
1713326400000,501.92,509.55,494.58,505.3,1104.645
1713330000000,505.3,508.53,493.07,494.41,678.021
1713333600000,494.41,498.87,491.32,495.99,257.551
1713337200000,495.99,498.87,486.5,493.05,1069.497
1713340800000,493.05,496.2,482.57,489.0,462.365
1713344400000,489.0,492.21,486.33,487.07,234.842
1713348000000,487.07,488.24,478.49,482.2,844.25
1713351600000,482.2,482.59,461.07,463.11,1654.271
1713355200000,463.11,470.66,461.72,465.64,479.649
1713358800000,465.64,467.74,455.47,459.92,1010.075
1713362400000,459.92,467.04,443.69,457.38,3167.666
1713366000000,457.38,459.73,437.2,445.12,1193.935
1713369600000,445.12,457.29,439.8,445.83,688.32
1713373200000,445.83,461.52,444.72,460.12,1198.621
