date,open,high,low,close,volume
1679061600000,4.34,4.418,4.319,4.396,2079.0
1679068800000,4.396,4.47,4.326,4.451,2816.4
1679076000000,4.451,4.638,4.367,4.601,3344.8
1679083200000,4.601,4.741,4.544,4.703,3371.1
1679090400000,4.703,4.847,4.671,4.832,4408.7
1679097600000,4.832,4.999,4.726,4.86,6734.0
1679104800000,4.86,4.931,4.787,4.853,3102.9
1679112000000,4.853,4.891,4.736,4.753,2793.2
1679119200000,4.753,4.851,4.711,4.818,3592.5
1679126400000,4.818,4.825,4.65,4.725,6939.9
1679133600000,4.725,4.786,4.699,4.761,4360.0
1679140800000,4.761,4.781,4.657,4.705,4315.6
1679148000000,4.705,4.764,4.499,4.541,3717.4
1679155200000,4.541,4.624,4.397,4.553,9480.5
1679162400000,4.553,4.646,4.524,4.574,2123.8
1679169600000,4.574,4.624,4.501,4.509,2321.2
1679176800000,4.509,4.617,4.393,4.439,4757.5
1679184000000,4.439,4.632,4.436,4.532,14358.5
1679191200000,4.532,4.598,4.512,4.587,4034.0
1679198400000,4.587,4.591,4.421,4.427,3757.4
1679205600000,4.427,4.464,4.31,4.362,18220.0
1679212800000,4.362,4.408,4.321,4.38,5787.5
1679220000000,4.38,4.386,4.252,4.372,6822.7
1679227200000,4.372,4.42,4.316,4.332,6537.0
1679234400000,4.332,4.444,4.331,4.419,10524.5
1679241600000,4.419,4.566,4.393,4.441,9663.2
1679248800000,4.441,4.566,4.414,4.479,6899.5
1679256000000,4.479,4.557,4.297,4.316,13880.8
1679263200000,4.316,4.386,4.242,4.281,14588.3
1679270400000,4.281,4.3,4.189,4.275,10305.9
1679277600000,4.275,4.314,4.104,4.114,10761.9
1679284800000,4.114,4.184,4.075,4.148,4402.2
1679292000000,4.148,4.279,4.11,4.243,6422.4
1679299200000,4.243,4.278,4.159,4.188,3169.3
1679306400000,4.188,4.241,4.148,4.193,1754.6
1679313600000,4.193,4.199,4.062,4.102,6668.0
1679320800000,4.102,4.186,4.102,4.144,5434.4
1679328000000,4.144,4.188,4.01,4.025,7527.3
1679335200000,4.025,4.097,3.943,4.025,10926.8
1679342400000,4.025,4.095,4.018,4.054,7214.1
1679349600000,4.054,4.066,3.954,3.986,4444.6
1679356800000,3.986,4.041,3.906,3.997,6689.8
1679364000000,3.997,4.014,3.961,3.99,3702.7
1679371200000,3.99,4.02,3.938,3.966,6773.9
1679378400000,3.966,4.078,3.868,3.915,11386.5
1679385600000,3.915,4.062,3.862,3.983,7241.3
1679392800000,3.983,4.054,3.971,4.045,7493.5
1679400000000,4.045,4.303,4.008,4.29,43799.6
1679407200000,4.29,4.388,4.196,4.341,37101.5
1679414400000,4.341,4.463,4.284,4.32,30493.4
1679421600000,4.32,4.358,4.223,4.34,12985.2
1679428800000,4.34,4.342,4.225,4.261,14381.3
1679436000000,4.261,4.272,4.156,4.223,11540.3
1679443200000,4.223,4.226,4.115,4.156,9785.4
1679450400000,4.156,4.196,4.123,4.137,8235.9
1679457600000,4.137,4.227,4.13,4.192,9325.2
1679464800000,4.192,4.257,4.15,4.244,8025.8
1679472000000,4.244,4.29,4.142,4.16,20257.1
1679479200000,4.16,4.194,4.109,4.118,13033.4
1679486400000,4.118,4.211,4.07,4.169,11538.2
1679493600000,4.169,4.262,4.132,4.151,8073.2
1679500800000,4.151,4.167,4.018,4.155,8980.2
1679508000000,4.155,4.358,3.928,3.964,32839.4
1679515200000,3.964,4.122,3.92,4.037,6761.4
1679522400000,4.037,4.132,3.976,4.105,12623.9
1679529600000,4.105,4.234,4.1,4.126,16966.6
1679536800000,4.126,4.247,4.106,4.172,11231.4
1679544000000,4.172,4.257,4.145,4.237,17925.1
1679551200000,4.237,4.316,4.222,4.251,28568.6
1679558400000,4.251,4.3,4.216,4.258,7245.0
1679565600000,4.258,4.26,4.185,4.204,6641.2
1679572800000,4.204,4.204,4.076,4.121,15361.6
1679580000000,4.121,4.322,4.087,4.254,14184.1
1679587200000,4.254,4.275,4.199,4.223,6955.8
1679594400000,4.223,4.223,4.122,4.178,6175.7
1679601600000,4.178,4.198,4.13,4.169,3342.7
1679608800000,4.169,4.258,4.149,4.225,9477.9
1679616000000,4.225,4.259,4.174,4.235,33393.0
1679623200000,4.235,4.352,4.228,4.315,14930.0
1679630400000,4.315,4.357,4.27,4.331,15906.0
1679637600000,4.331,4.436,4.33,4.398,40154.2
1679644800000,4.398,4.504,4.326,4.338,90927.3
1679652000000,4.338,4.379,4.207,4.285,69426.0
1679659200000,4.285,4.362,4.167,4.254,47071.6
1679666400000,4.254,4.312,4.147,4.177,22756.2
1679673600000,4.177,4.238,4.041,4.118,23350.5
1679680800000,4.118,4.215,4.096,4.208,11541.2
1679688000000,4.208,4.241,4.105,4.176,15295.7
1679695200000,4.176,4.188,4.123,4.172,14164.6
1679702400000,4.172,4.217,4.11,4.154,23537.7
1679709600000,4.154,4.247,4.145,4.172,9076.3
1679716800000,4.172,4.206,4.126,4.146,19427.3
1679724000000,4.146,4.164,4.091,4.092,7571.3
1679731200000,4.092,4.102,3.978,4.061,12591.2
1679738400000,4.061,4.081,4.006,4.07,8790.3
1679745600000,4.07,4.078,3.902,3.992,47275.8
1679752800000,3.992,4.013,3.887,3.974,29176.3
1679760000000,3.974,3.992,3.905,3.905,15872.7
1679767200000,3.905,3.943,3.802,3.816,28657.8
1679774400000,3.816,3.85,3.783,3.802,31228.3
1679781600000,3.802,3.856,3.798,3.826,15335.4
1679788800000,3.826,3.9,3.779,3.855,25217.6
1679796000000,3.855,3.93,3.855,3.878,22041.9
1679803200000,3.878,3.936,3.868,3.934,13517.7
1679810400000,3.934,3.955,3.884,3.895,12852.8
1679817600000,3.895,4.012,3.865,3.966,28981.0
1679824800000,3.966,4.0,3.925,3.987,14903.8
1679832000000,3.987,4.081,3.978,4.076,24784.1
1679839200000,4.076,4.09,3.932,3.961,22365.5
1679846400000,3.961,4.0,3.938,3.988,18123.2
1679853600000,3.988,4.032,3.961,4.0,16612.5
1679860800000,4.0,4.019,3.934,4.012,13252.6
1679868000000,4.012,4.077,3.987,4.051,21306.7
1679875200000,4.051,4.065,3.965,3.977,15410.4
1679882400000,3.977,4.014,3.958,3.981,6880.6
1679889600000,3.981,4.023,3.939,3.956,11006.0
1679896800000,3.956,3.987,3.907,3.922,12256.8
1679904000000,3.922,4.063,3.886,4.036,20936.2
1679911200000,4.036,4.046,3.994,4.016,18166.9
1679918400000,4.016,4.044,3.91,3.919,47390.4
1679925600000,3.919,3.926,3.711,3.788,61936.4
1679932800000,3.788,3.898,3.697,3.721,39956.6
1679940000000,3.721,3.809,3.718,3.742,25884.3
1679947200000,3.742,3.871,3.726,3.778,25673.1
1679954400000,3.778,3.829,3.743,3.787,15197.9
1679961600000,3.787,3.799,3.625,3.67,58806.2
1679968800000,3.67,3.705,3.644,3.686,25667.9
1679976000000,3.686,3.73,3.661,3.693,21657.9
1679983200000,3.693,3.764,3.688,3.713,19457.5
1679990400000,3.713,3.74,3.66,3.68,16215.2
1679997600000,3.68,3.758,3.647,3.738,33012.5
1680004800000,3.738,3.847,3.717,3.741,33215.3
1680012000000,3.741,3.875,3.737,3.837,20219.8
1680019200000,3.837,3.841,3.763,3.776,44296.0
1680026400000,3.776,4.333,3.772,4.277,98273.5
1680033600000,4.277,4.363,4.112,4.135,46328.2
1680040800000,4.135,4.214,4.132,4.182,26643.2
1680048000000,4.182,4.3,4.172,4.274,51836.2
1680055200000,4.274,4.289,4.209,4.255,22656.6
1680062400000,4.255,4.365,4.23,4.323,43693.9
1680069600000,4.323,4.473,4.3,4.319,34975.7
1680076800000,4.319,4.417,4.293,4.338,38229.4
1680084000000,4.338,4.35,4.274,4.343,17068.5
1680091200000,4.343,4.343,4.254,4.291,24624.7
1680098400000,4.291,4.325,4.241,4.317,16252.5
1680105600000,4.317,4.373,4.268,4.348,15232.1
1680112800000,4.348,4.364,4.3,4.35,5237.9
1680120000000,4.35,4.35,4.281,4.302,4475.9
1680127200000,4.302,4.383,4.254,4.341,29136.8
1680134400000,4.341,4.36,4.211,4.27,26590.2
1680141600000,4.27,4.452,4.232,4.282,34627.9
1680148800000,4.282,4.358,4.256,4.319,5024.8
1680156000000,4.319,4.34,4.257,4.289,6270.1
1680163200000,4.289,4.294,4.18,4.257,16072.2
1680170400000,4.257,4.405,4.25,4.352,22338.1
1680177600000,4.352,4.442,4.322,4.353,18941.2
1680184800000,4.353,4.365,4.244,4.326,21908.4
1680192000000,4.326,4.639,4.214,4.448,79435.1
1680199200000,4.448,4.625,4.397,4.585,69618.7
1680206400000,4.585,4.9,4.578,4.676,120627.2
1680213600000,4.676,4.762,4.6,4.681,111230.7
1680220800000,4.681,4.751,4.611,4.724,42594.0
1680228000000,4.724,4.815,4.673,4.762,45708.9
1680235200000,4.762,4.766,4.664,4.697,46803.1
1680242400000,4.697,4.727,4.564,4.63,45288.2
1680249600000,4.63,4.7,4.598,4.622,33221.0
1680256800000,4.622,4.724,4.565,4.591,35816.3
1680264000000,4.591,4.784,4.589,4.733,25445.9
1680271200000,4.733,4.753,4.679,4.698,21086.3
1680278400000,4.698,4.712,4.631,4.639,7406.9
1680285600000,4.639,4.685,4.617,4.679,15971.6
1680292800000,4.679,4.709,4.625,4.685,12922.9
1680300000000,4.685,4.743,4.662,4.716,13556.5
