date,open,high,low,close,volume
1711533600000,0.8466,0.9056,0.8445,0.8721,39406.7
1711540800000,0.8721,0.9113,0.8591,0.8647,70387.0
1711548000000,0.8647,0.8998,0.8444,0.8469,391696.9
1711555200000,0.8469,0.9457,0.8469,0.891,1296851.8
1711562400000,0.891,0.9232,0.8634,0.875,1122090.9
1711569600000,0.875,0.9041,0.8662,0.8952,516068.7
1711576800000,0.8952,0.8969,0.8591,0.8647,642284.0
1711584000000,0.8647,0.887,0.8539,0.8649,657246.3
1711591200000,0.8649,0.8904,0.8522,0.8901,1048143.4
1711598400000,0.8901,0.9295,0.8897,0.9013,1693748.8
1711605600000,0.9013,0.9436,0.897,0.9354,1493004.7
1711612800000,0.9354,0.9645,0.9158,0.9383,2350975.7
1711620000000,0.9383,0.9561,0.9,0.9024,2080807.2
1711627200000,0.9024,0.9196,0.8831,0.9022,2012618.2
1711634400000,0.9022,0.9039,0.8813,0.8985,830786.1
1711641600000,0.8985,0.9233,0.89,0.9229,633337.8
1711648800000,0.9229,0.9498,0.92,0.9363,694427.1
1711656000000,0.9363,0.9371,0.9072,0.9111,688632.7
1711663200000,0.9111,0.9221,0.9052,0.9141,444726.2
1711670400000,0.9141,0.9422,0.8944,0.9106,1542750.3
1711677600000,0.9106,0.9106,0.8836,0.8969,982465.9
1711684800000,0.8969,0.9088,0.8757,0.8895,859694.1
1711692000000,0.8895,0.901,0.8784,0.8826,664144.6
1711699200000,0.8826,0.8945,0.8691,0.8821,1034280.6
1711706400000,0.8821,0.8961,0.8746,0.8825,861280.7
1711713600000,0.8825,0.8908,0.8744,0.8862,410725.0
1711720800000,0.8862,0.9029,0.8606,0.8764,995765.8
1711728000000,0.8764,0.909,0.8759,0.8936,566493.6
1711735200000,0.8936,0.8954,0.8803,0.8942,157035.1
1711742400000,0.8942,0.9027,0.8805,0.882,386632.3
1711749600000,0.882,0.8865,0.875,0.8785,289034.1
1711756800000,0.8785,0.9045,0.8693,0.8906,765448.1
1711764000000,0.8906,0.8978,0.8833,0.8936,211741.6
1711771200000,0.8936,0.9257,0.8866,0.9214,893130.9
1711778400000,0.9214,0.9265,0.8902,0.8961,1205947.0
1711785600000,0.8961,0.9075,0.8813,0.8949,736871.8
1711792800000,0.8949,0.938,0.8901,0.9336,1264812.1
1711800000000,0.9336,0.9394,0.9054,0.9331,1192700.0
1711807200000,0.9331,0.9482,0.9028,0.904,1378341.5
1711814400000,0.904,0.9232,0.9,0.9221,735724.0
1711821600000,0.9221,0.9247,0.9092,0.9196,524991.7
1711828800000,0.9196,0.9196,0.9018,0.9067,375038.2
1711836000000,0.9067,0.9067,0.888,0.8983,560270.6
1711843200000,0.8983,0.9114,0.8918,0.909,455420.0
1711850400000,0.909,0.9169,0.8914,0.8926,542412.4
1711857600000,0.8926,0.8996,0.8896,0.8996,365761.0
1711864800000,0.8996,0.9003,0.8901,0.8977,448323.6
1711872000000,0.8977,0.9113,0.8918,0.8956,651675.8
1711879200000,0.8956,0.9216,0.8938,0.9196,858109.7
1711886400000,0.9196,0.9335,0.897,0.9114,1398063.7
1711893600000,0.9114,0.9464,0.9046,0.9303,1315693.4
1711900800000,0.9303,1.0283,0.9237,1.0117,4449487.8
1711908000000,1.0117,1.0485,0.996,1.0364,3230641.7
1711915200000,1.0364,1.0566,0.97,0.9726,3223756.7
1711922400000,0.9726,0.9935,0.9673,0.977,1233144.9
1711929600000,0.977,0.9843,0.9336,0.9368,1941313.4
1711936800000,0.9368,0.9431,0.9215,0.924,1160211.3
1711944000000,0.924,0.9352,0.8338,0.88,3765653.7
1711951200000,0.88,0.9046,0.8697,0.8946,2689519.8
1711958400000,0.8946,0.9379,0.885,0.9081,2761724.0
1711965600000,0.9081,0.9201,0.9016,0.9035,1550625.3
1711972800000,0.9035,0.9095,0.8853,0.8985,1973119.0
1711980000000,0.8985,0.9,0.85,0.8674,3792611.6
1711987200000,0.8674,0.8758,0.8471,0.8605,1288283.0
1711994400000,0.8605,0.8787,0.841,0.8761,1478671.3
1712001600000,0.8761,0.8978,0.8673,0.8973,922206.2
1712008800000,0.8973,0.9122,0.8934,0.9016,901038.6
1712016000000,0.9016,0.902,0.8819,0.8878,1106268.1
1712023200000,0.8878,0.8878,0.8106,0.8406,3788354.2
1712030400000,0.8406,0.8473,0.8264,0.8351,1475946.5
1712037600000,0.8351,0.8515,0.8153,0.8161,1833662.5
1712044800000,0.8161,0.8173,0.7923,0.8011,2597102.5
1712052000000,0.8011,0.8142,0.7717,0.8055,2501056.4
1712059200000,0.8055,0.8157,0.792,0.8091,1278691.2
1712066400000,0.8091,0.8456,0.8026,0.8115,2740627.9
1712073600000,0.8115,0.8379,0.7956,0.8096,1576320.2
1712080800000,0.8096,0.8243,0.8019,0.8132,443491.7
1712088000000,0.8132,0.8138,0.7867,0.8035,708836.8
1712095200000,0.8035,0.8133,0.7947,0.7957,482056.7
1712102400000,0.7957,0.8255,0.75,0.8244,2223689.5
1712109600000,0.8244,0.8254,0.7893,0.7925,1014322.5
1712116800000,0.7925,0.8165,0.7905,0.8051,706909.0
1712124000000,0.8051,0.8314,0.8017,0.8141,946352.9
1712131200000,0.8141,0.8391,0.8062,0.834,2619561.2
1712138400000,0.834,0.834,0.8109,0.813,1118203.6
1712145600000,0.813,0.8218,0.7918,0.7962,1571987.2
1712152800000,0.7962,0.8359,0.7962,0.802,1986431.4
1712160000000,0.802,0.8318,0.8002,0.8034,841846.9
1712167200000,0.8034,0.8043,0.7793,0.8,1068436.7
1712174400000,0.8,0.805,0.776,0.8026,495257.9
1712181600000,0.8026,0.8166,0.8,0.801,609588.8
1712188800000,0.801,0.8073,0.778,0.7812,747354.0
1712196000000,0.7812,0.7823,0.7596,0.7628,1103367.7
1712203200000,0.7628,0.7675,0.7509,0.763,773557.8
1712210400000,0.763,0.7795,0.7613,0.7742,644828.6
1712217600000,0.7742,0.7923,0.7711,0.7905,495619.7
1712224800000,0.7905,0.8136,0.785,0.804,924633.1
1712232000000,0.804,0.835,0.8002,0.8247,2064806.5
1712239200000,0.8247,0.849,0.8118,0.8444,1993722.1
1712246400000,0.8444,0.849,0.8225,0.8452,770606.4
1712253600000,0.8452,0.8479,0.8135,0.8153,576898.7
1712260800000,0.8153,0.8165,0.78,0.7909,1360886.6
1712268000000,0.7909,0.8096,0.7867,0.8076,529989.8
1712275200000,0.8076,0.8125,0.786,0.788,751887.0
1712282400000,0.788,0.7906,0.7705,0.7854,1276185.2
1712289600000,0.7854,0.792,0.7614,0.7749,1022058.9
1712296800000,0.7749,0.7798,0.7625,0.7682,617288.8
1712304000000,0.7682,0.7781,0.7491,0.7586,961116.5
1712311200000,0.7586,0.759,0.7353,0.7383,1168347.4
1712318400000,0.7383,0.7684,0.7346,0.7598,1766471.9
1712325600000,0.7598,0.7798,0.7548,0.7743,981615.2
1712332800000,0.7743,0.7888,0.7736,0.7796,979245.5
1712340000000,0.7796,0.7906,0.7744,0.7795,830358.8
1712347200000,0.7795,0.7994,0.7795,0.7852,396854.2
1712354400000,0.7852,0.7887,0.7718,0.7725,165619.2
1712361600000,0.7725,0.7923,0.7637,0.7784,570430.3
1712368800000,0.7784,0.7994,0.772,0.7972,553007.6
1712376000000,0.7972,0.8095,0.7882,0.7992,1052250.7
1712383200000,0.7992,0.8131,0.7952,0.8054,688833.3
1712390400000,0.8054,0.8337,0.8052,0.814,1041498.7
1712397600000,0.814,0.8173,0.7972,0.7985,715537.3
1712404800000,0.7985,0.8057,0.7937,0.799,482903.9
1712412000000,0.799,0.8123,0.797,0.8081,497841.2
1712419200000,0.8081,0.8112,0.7976,0.7993,354964.0
1712426400000,0.7993,0.8045,0.792,0.7981,269307.0
1712433600000,0.7981,0.8037,0.7951,0.7958,175811.6
1712440800000,0.7958,0.8155,0.7951,0.7983,430394.9
1712448000000,0.7983,0.8185,0.7966,0.8152,486934.3
1712455200000,0.8152,0.8372,0.8151,0.8335,967126.6
1712462400000,0.8335,0.8538,0.8243,0.8505,1307692.8
1712469600000,0.8505,0.8508,0.8236,0.8355,1099814.0
1712476800000,0.8355,0.8382,0.8137,0.8159,2329052.1
1712484000000,0.8159,0.8187,0.8086,0.8135,522045.2
1712491200000,0.8135,0.8213,0.8079,0.8123,575852.3
1712498400000,0.8123,0.8199,0.8034,0.8044,1075635.4
1712505600000,0.8044,0.8198,0.8005,0.8048,623240.7
1712512800000,0.8048,0.8056,0.795,0.7968,717277.5
1712520000000,0.7968,0.8018,0.786,0.7901,456121.3
1712527200000,0.7901,0.8089,0.7808,0.8049,657657.2
1712534400000,0.8049,0.8061,0.7901,0.7989,574097.3
1712541600000,0.7989,0.7994,0.7831,0.7906,932568.6
1712548800000,0.7906,0.8135,0.785,0.8016,1371498.8
1712556000000,0.8016,0.8182,0.7972,0.8178,613390.3
1712563200000,0.8178,0.8365,0.8134,0.8259,2293374.6
1712570400000,0.8259,0.8273,0.8147,0.8236,1040320.1
1712577600000,0.8236,0.8312,0.8113,0.8152,1220586.8
1712584800000,0.8152,0.8288,0.8095,0.827,617717.3
1712592000000,0.827,0.8428,0.8224,0.8304,1388758.6
1712599200000,0.8304,0.8388,0.8287,0.8351,746456.3
1712606400000,0.8351,0.8359,0.8277,0.8342,427813.0
1712613600000,0.8342,0.8637,0.8335,0.8444,2240213.4
1712620800000,0.8444,0.8476,0.8272,0.8307,2184943.8
1712628000000,0.8307,0.8331,0.8158,0.8171,966536.5
1712635200000,0.8171,0.8256,0.8055,0.8104,1224586.8
1712642400000,0.8104,0.8142,0.7885,0.7965,1180374.5
1712649600000,0.7965,0.7965,0.78,0.7889,2366718.7
1712656800000,0.7889,0.8054,0.7877,0.803,579214.9
1712664000000,0.803,0.8045,0.7818,0.7818,905894.1
1712671200000,0.7818,0.7908,0.7596,0.7729,2322701.1
1712678400000,0.7729,0.7745,0.755,0.7648,693413.5
1712685600000,0.7648,0.7703,0.76,0.769,268673.7
1712692800000,0.769,0.7733,0.7625,0.7649,184365.1
1712700000000,0.7649,0.7715,0.7545,0.7603,503950.3
1712707200000,0.7603,0.7683,0.746,0.7604,964136.5
1712714400000,0.7604,0.7637,0.7361,0.7544,937871.6
1712721600000,0.7544,0.7735,0.7508,0.7716,698323.9
1712728800000,0.7716,0.7862,0.7693,0.7804,488160.3
1712736000000,0.7804,0.7879,0.7711,0.7746,1674745.0
1712743200000,0.7746,0.7746,0.7581,0.7657,805413.9
1712750400000,0.7657,0.7701,0.7177,0.7465,4402649.4
1712757600000,0.7465,0.7666,0.7412,0.7555,1241852.0
1712764800000,0.7555,0.7892,0.7512,0.773,998489.5
1712772000000,0.773,0.7773,0.7588,0.776,514119.8
1712779200000,0.776,0.7861,0.7669,0.7732,657312.6
1712786400000,0.7732,0.785,0.7732,0.7764,1011455.9
1712793600000,0.7764,0.7798,0.7683,0.7694,1058017.2
1712800800000,0.7694,0.7752,0.7657,0.7721,534488.1
1712808000000,0.7721,0.7827,0.7634,0.779,509875.5
1712815200000,0.779,0.7949,0.7761,0.7861,1613398.0
1712822400000,0.7861,0.7929,0.7702,0.7713,1019494.7
1712829600000,0.7713,0.7736,0.7469,0.7493,2019760.9
1712836800000,0.7493,0.7778,0.747,0.7587,2458358.6
1712844000000,0.7587,0.7587,0.7429,0.7549,736090.7
1712851200000,0.7549,0.7605,0.7403,0.7584,467347.6
1712858400000,0.7584,0.7789,0.7554,0.7759,787192.5
1712865600000,0.7759,0.8454,0.7723,0.8143,5191198.4
1712872800000,0.8143,0.8428,0.8103,0.8211,2320107.4
1712880000000,0.8211,0.8293,0.804,0.8064,1283539.9
1712887200000,0.8064,0.8587,0.8038,0.8374,4142177.1
1712894400000,0.8374,0.8499,0.8272,0.8311,2455061.8
1712901600000,0.8311,0.8394,0.814,0.8203,1177831.8
1712908800000,0.8203,0.8203,0.8019,0.8046,2169312.9
1712916000000,0.8046,0.8047,0.7795,0.786,1838517.1
1712923200000,0.786,0.7898,0.7454,0.754,3047855.2
1712930400000,0.754,0.7771,0.7505,0.7643,2264377.9
1712937600000,0.7643,0.7688,0.6613,0.7343,5324191.3
1712944800000,0.7343,0.7406,0.55,0.6806,8820944.6
1712952000000,0.6806,0.7083,0.6774,0.7009,2042765.0
1712959200000,0.7009,0.713,0.6876,0.6986,733641.9
