date,open,high,low,close,volume
1650009600000,8.481,8.516,8.354,8.364,8757.8
1650016800000,8.364,8.515,8.363,8.443,10299.3
1650024000000,8.443,8.474,8.292,8.303,14463.7
1650031200000,8.303,8.501,8.207,8.422,15403.7
1650038400000,8.422,8.555,8.344,8.513,10948.7
1650045600000,8.513,8.551,8.375,8.387,11725.5
1650052800000,8.387,8.478,8.37,8.404,15004.7
1650060000000,8.404,8.508,8.384,8.471,15073.0
1650067200000,8.471,8.494,8.419,8.451,17985.5
1650074400000,8.451,8.453,8.304,8.33,11033.3
1650081600000,8.33,8.385,8.252,8.374,13567.3
1650088800000,8.374,8.431,8.327,8.341,9983.3
1650096000000,8.341,8.409,8.262,8.296,15085.9
1650103200000,8.296,8.334,8.126,8.15,11411.0
1650110400000,8.15,8.172,7.97,7.984,10273.5
1650117600000,7.984,8.032,7.806,7.85,10896.0
1650124800000,7.85,7.968,7.827,7.874,10658.9
1650132000000,7.874,7.914,7.831,7.856,10818.5
1650139200000,7.856,7.967,7.855,7.955,10993.8
1650146400000,7.955,8.017,7.916,7.983,12818.4
1650153600000,7.983,7.992,7.907,7.932,14103.8
1650160800000,7.932,7.937,7.812,7.868,12349.9
1650168000000,7.868,8.068,7.862,8.055,15230.9
1650175200000,8.055,8.15,8.024,8.114,14295.8
1650182400000,8.114,8.17,8.056,8.092,10729.3
1650189600000,8.092,8.127,8.008,8.072,12153.9
1650196800000,8.072,8.145,8.0,8.073,12111.3
1650204000000,8.073,8.198,8.037,8.153,13669.8
1650211200000,8.153,8.17,7.97,7.987,10561.9
1650218400000,7.987,8.018,7.88,7.999,12756.8
1650225600000,7.999,8.036,7.887,7.988,14761.4
1650232800000,7.988,8.088,7.591,7.613,13061.4
1650240000000,7.613,7.767,7.557,7.723,10087.0
1650247200000,7.723,7.829,7.716,7.776,12571.9
1650254400000,7.776,7.796,7.181,7.315,18492.2
1650261600000,7.315,7.419,7.275,7.317,7875.0
1650268800000,7.317,7.428,7.304,7.357,10038.3
1650276000000,7.357,7.514,7.337,7.412,17069.6
1650283200000,7.412,7.671,7.41,7.559,31032.3
1650290400000,7.559,7.63,7.512,7.547,34296.4
1650297600000,7.547,8.075,7.455,8.073,49858.1
1650304800000,8.073,8.28,8.03,8.216,95861.6
1650312000000,8.216,8.464,8.216,8.255,57015.8
1650319200000,8.255,8.289,8.131,8.233,80684.9
1650326400000,8.233,8.585,8.231,8.425,52874.1
1650333600000,8.425,8.489,8.32,8.336,59535.5
1650340800000,8.336,8.514,8.277,8.445,71416.2
1650348000000,8.445,8.674,8.363,8.467,76675.1
1650355200000,8.467,8.617,8.446,8.544,76562.9
1650362400000,8.544,8.698,8.496,8.544,105493.3
1650369600000,8.544,8.998,8.541,8.989,178885.6
1650376800000,8.989,9.233,8.922,9.084,365371.5
