date,open,high,low,close,volume
1597825800000,0.13296,0.13408,0.13249,0.13373,576200.0
1597827600000,0.13373,0.1343,0.13326,0.13388,722700.0
1597829400000,0.13388,0.13424,0.13314,0.13326,2370000.0
1597831200000,0.13326,0.13366,0.13256,0.13279,441800.0
1597833000000,0.13279,0.13304,0.13205,0.13301,2278400.0
1597834800000,0.13301,0.13375,0.13232,0.13327,799500.0
1597836600000,0.13327,0.13366,0.13246,0.1328,773800.0
1597838400000,0.1328,0.13322,0.13188,0.13245,338500.0
1597840200000,0.13245,0.1328,0.13185,0.13274,1167200.0
1597842000000,0.13274,0.13386,0.1327,0.13315,332200.0
1597843800000,0.13315,0.13332,0.13231,0.13322,826600.0
1597845600000,0.13322,0.13566,0.13276,0.13507,690800.0
1597847400000,0.13507,0.13555,0.13252,0.1329,2541300.0
1597849200000,0.1329,0.13336,0.13107,0.13175,1348800.0
1597851000000,0.13175,0.1322,0.13073,0.13152,5178500.0
1597852800000,0.13152,0.13211,0.12917,0.1298,788100.0
1597854600000,0.1298,0.13137,0.12915,0.13109,2409000.0
1597856400000,0.13109,0.13137,0.13069,0.13101,419000.0
1597858200000,0.13101,0.13193,0.13101,0.13159,3620600.0
1597860000000,0.13159,0.13159,0.13029,0.1303,527700.0
1597861800000,0.1303,0.1308,0.1295,0.13075,2422200.0
1597863600000,0.13075,0.13096,0.12944,0.13088,1284900.0
1597865400000,0.13088,0.13105,0.12869,0.12869,1669400.0
1597867200000,0.12869,0.1293,0.12634,0.12907,1400800.0
1597869000000,0.12907,0.12966,0.12874,0.12957,946400.0
1597870800000,0.12957,0.13084,0.12956,0.13049,1055700.0
1597872600000,0.13049,0.13134,0.1299,0.1299,2576400.0
1597874400000,0.1299,0.13145,0.1299,0.13145,715300.0
1597876200000,0.13145,0.13155,0.13033,0.13033,2172900.0
1597878000000,0.13033,0.13073,0.12999,0.13035,841100.0
1597879800000,0.13035,0.13039,0.12926,0.12988,860200.0
1597881600000,0.12988,0.13151,0.12985,0.13141,548600.0
1597883400000,0.13141,0.1321,0.13122,0.13149,789200.0
1597885200000,0.13149,0.13184,0.13087,0.131,249700.0
1597887000000,0.131,0.13187,0.13077,0.13086,849200.0
1597888800000,0.13086,0.13111,0.13049,0.13058,476300.0
1597890600000,0.13058,0.13094,0.12951,0.13015,1071600.0
1597892400000,0.13015,0.13036,0.12953,0.12999,351000.0
1597894200000,0.12999,0.13005,0.12863,0.12879,1837500.0
1597896000000,0.12879,0.12944,0.12784,0.12913,853900.0
1597897800000,0.12913,0.1296,0.12882,0.12899,2629500.0
1597899600000,0.12899,0.12909,0.1272,0.12794,413200.0
1597901400000,0.12794,0.12808,0.12721,0.12721,943100.0
1597903200000,0.12721,0.12996,0.12633,0.1295,1703700.0
1597905000000,0.1295,0.12966,0.12875,0.12907,1742200.0
1597906800000,0.12907,0.1294,0.12845,0.12926,552300.0
1597908600000,0.12926,0.12926,0.12729,0.1275,976700.0
1597910400000,0.1275,0.128,0.12704,0.12743,977900.0
1597912200000,0.12743,0.12872,0.12743,0.12857,1099500.0
1597914000000,0.12857,0.1291,0.12811,0.1286,680700.0
1597915800000,0.1286,0.12945,0.12822,0.12932,2222600.0
1597917600000,0.12932,0.12945,0.12871,0.12891,295400.0
1597919400000,0.12891,0.12925,0.12851,0.12893,570200.0
1597921200000,0.12893,0.1292,0.12822,0.12885,643000.0
1597923000000,0.12885,0.1305,0.12839,0.13043,3355300.0
1597924800000,0.13043,0.13171,0.13018,0.13091,797600.0
1597926600000,0.13091,0.13133,0.13074,0.13095,1225600.0
1597928400000,0.13095,0.13105,0.1302,0.13099,494500.0
1597930200000,0.13099,0.13246,0.13096,0.13176,3392600.0
1597932000000,0.13176,0.13182,0.13111,0.13156,198200.0
1597933800000,0.13156,0.13234,0.13135,0.13178,526500.0
1597935600000,0.13178,0.13205,0.13131,0.13136,325000.0
1597937400000,0.13136,0.13291,0.13127,0.13289,675300.0
1597939200000,0.13289,0.1331,0.1314,0.13193,594700.0
1597941000000,0.13193,0.13207,0.13112,0.13165,753300.0
1597942800000,0.13165,0.13203,0.13125,0.13171,631800.0
1597944600000,0.13171,0.13179,0.13105,0.13128,1260900.0
1597946400000,0.13128,0.1318,0.13105,0.13124,249200.0
1597948200000,0.13124,0.13239,0.13109,0.13206,1405000.0
1597950000000,0.13206,0.13218,0.13149,0.13159,652900.0
1597951800000,0.13159,0.13196,0.13113,0.13125,1989200.0
1597953600000,0.13125,0.13209,0.1311,0.13195,137100.0
1597955400000,0.13195,0.13277,0.13174,0.13268,229100.0
1597957200000,0.13268,0.13322,0.13257,0.13286,132600.0
1597959000000,0.13286,0.1332,0.13224,0.13243,272200.0
1597960800000,0.13243,0.1327,0.13201,0.13242,131300.0
1597962600000,0.13242,0.13363,0.13198,0.13336,622100.0
1597964400000,0.13336,0.13473,0.13326,0.13428,320200.0
1597966200000,0.13428,0.13469,0.13367,0.13432,648400.0
1597968000000,0.13432,0.13449,0.13301,0.13345,364200.0
1597969800000,0.13345,0.13345,0.13227,0.13232,703400.0
1597971600000,0.13232,0.13253,0.13155,0.1322,156600.0
1597973400000,0.1322,0.13269,0.13073,0.13257,595000.0
1597975200000,0.13257,0.13327,0.13219,0.1328,1487800.0
1597977000000,0.1328,0.13296,0.13149,0.13149,3433300.0
1597978800000,0.13149,0.13185,0.13036,0.1317,716400.0
1597980600000,0.1317,0.13349,0.13138,0.13323,2185800.0
1597982400000,0.13323,0.13428,0.13305,0.13422,581200.0
1597984200000,0.13422,0.13433,0.13299,0.13358,610200.0
1597986000000,0.13358,0.13388,0.13305,0.13314,251800.0
1597987800000,0.13314,0.134,0.1331,0.13381,1516800.0
1597989600000,0.13381,0.13393,0.13276,0.13326,575500.0
1597991400000,0.13326,0.13341,0.13234,0.13252,1399100.0
1597993200000,0.13252,0.13316,0.13228,0.13288,322000.0
1597995000000,0.13288,0.13296,0.13169,0.13218,911900.0
1597996800000,0.13218,0.13229,0.13124,0.13157,1469800.0
1597998600000,0.13157,0.1322,0.13117,0.13209,2997500.0
1598000400000,0.13209,0.13236,0.13156,0.1317,251100.0
1598002200000,0.1317,0.13176,0.13052,0.13066,589600.0
1598004000000,0.13066,0.13077,0.13,0.1306,611900.0
1598005800000,0.1306,0.13083,0.12941,0.13074,3277600.0
1598007600000,0.13074,0.13104,0.13007,0.13009,384900.0
1598009400000,0.13009,0.13009,0.12811,0.12889,4611500.0
1598011200000,0.12889,0.12889,0.12734,0.12755,1379500.0
1598013000000,0.12755,0.13014,0.12738,0.12978,13293000.0
1598014800000,0.12978,0.13032,0.12944,0.12979,387000.0
1598016600000,0.12979,0.12983,0.12833,0.1287,4139200.0
1598018400000,0.1287,0.12975,0.1278,0.12943,635700.0
1598020200000,0.12943,0.13015,0.12866,0.12954,1411700.0
1598022000000,0.12954,0.12964,0.12825,0.12902,599300.0
1598023800000,0.12902,0.12984,0.12882,0.12882,4013600.0
1598025600000,0.12882,0.1289,0.12815,0.12859,636800.0
1598027400000,0.12859,0.12864,0.12669,0.12669,3238500.0
1598029200000,0.12669,0.12903,0.12653,0.12844,1696500.0
1598031000000,0.12844,0.12875,0.12728,0.12743,772300.0
1598032800000,0.12743,0.12761,0.12383,0.1251,453200.0
1598034600000,0.1251,0.12605,0.12398,0.12593,5586300.0
1598036400000,0.12593,0.12752,0.12552,0.12718,425900.0
1598038200000,0.12718,0.12756,0.12657,0.12667,2751500.0
1598040000000,0.12667,0.1279,0.12644,0.12743,362500.0
1598041800000,0.12743,0.12743,0.12503,0.12503,604300.0
1598043600000,0.12503,0.12573,0.12162,0.12352,4286300.0
1598045400000,0.12352,0.12386,0.12217,0.12349,9357300.0
1598047200000,0.12349,0.12494,0.12319,0.12474,622100.0
1598049000000,0.12474,0.12508,0.12286,0.12299,2757800.0
1598050800000,0.12299,0.12399,0.12189,0.12196,483400.0
1598052600000,0.12196,0.12338,0.12155,0.12316,5752300.0
1598054400000,0.12316,0.12382,0.12043,0.12076,1679500.0
1598056200000,0.12076,0.12166,0.12016,0.12098,5136500.0
1598058000000,0.12098,0.12118,0.11828,0.12081,1161400.0
1598059800000,0.12081,0.12141,0.11993,0.12068,6352300.0
1598061600000,0.12068,0.12173,0.12042,0.12063,694500.0
1598063400000,0.12063,0.12136,0.11971,0.12105,7424800.0
1598065200000,0.12105,0.12178,0.12065,0.12073,699500.0
1598067000000,0.12073,0.12224,0.12068,0.12208,697800.0
1598068800000,0.12208,0.12218,0.12085,0.12094,788400.0
1598070600000,0.12094,0.12136,0.11999,0.12019,753100.0
1598072400000,0.12019,0.12207,0.12018,0.1218,798500.0
1598074200000,0.1218,0.12229,0.1215,0.12222,595900.0
1598076000000,0.12222,0.12291,0.12222,0.12282,504500.0
