date,open,high,low,close,volume
1640248200000,243.9,246.1,243.75,245.7,416.1
1640250000000,245.7,249.75,245.6,248.35,894.0
1640251800000,248.35,253.4,248.0,253.05,1100.3
1640253600000,253.05,258.8,253.0,258.7,1113.0
1640255400000,258.7,261.3,256.65,258.55,1700.4
1640257200000,258.55,261.3,257.45,258.5,839.5
1640259000000,258.5,258.85,256.2,257.55,827.3
1640260800000,257.55,258.3,253.65,254.9,760.2
1640262600000,254.9,258.15,254.8,257.5,650.6
1640264400000,257.5,259.6,256.8,258.95,967.8
1640266200000,258.95,260.15,258.0,258.2,769.0
1640268000000,258.2,258.95,255.05,255.55,748.4
1640269800000,255.55,257.6,255.55,256.65,587.3
1640271600000,256.65,257.5,256.0,257.15,573.0
1640273400000,257.15,257.95,255.9,257.8,700.9
1640275200000,257.8,258.8,256.45,257.6,751.6
1640277000000,257.6,261.1,256.75,259.65,569.2
1640278800000,259.65,263.45,258.8,261.35,661.1
1640280600000,261.35,265.4,260.6,264.95,862.7
1640282400000,264.95,268.75,264.95,267.25,943.3
1640284200000,267.25,267.35,263.35,265.95,1311.2
1640286000000,265.95,266.25,264.45,265.25,1157.9
1640287800000,265.25,267.35,265.05,265.55,872.4
1640289600000,265.55,266.1,262.0,262.75,1165.2
1640291400000,262.75,263.95,261.3,262.85,868.6
1640293200000,262.85,263.75,261.25,262.05,755.8
1640295000000,262.05,262.15,260.25,261.0,617.5
1640296800000,261.0,261.55,260.25,261.3,588.1
1640298600000,261.3,261.5,260.25,260.55,397.9
1640300400000,260.55,263.15,260.45,262.35,394.5
1640302200000,262.35,262.35,260.05,261.2,378.5
1640304000000,261.2,263.15,260.15,262.95,408.5
1640305800000,262.95,263.8,261.35,262.75,374.6
1640307600000,262.75,265.95,262.3,265.35,401.9
1640309400000,265.35,266.05,264.6,264.85,451.2
1640311200000,264.85,266.7,263.3,265.25,747.8
1640313000000,265.25,266.3,263.25,264.0,722.7
1640314800000,264.0,264.75,262.6,264.45,1068.5
1640316600000,264.45,265.4,262.95,264.75,971.7
1640318400000,264.75,265.5,262.8,262.95,815.5
1640320200000,262.95,263.25,262.35,262.4,643.1
1640322000000,262.4,262.45,257.2,257.8,557.3
1640323800000,257.8,260.15,257.65,260.1,543.0
1640325600000,260.1,260.35,257.85,259.3,880.7
1640327400000,259.3,261.65,258.5,260.15,714.8
1640329200000,260.15,261.8,259.05,261.45,716.1
1640331000000,261.45,263.85,260.75,263.65,680.3
1640332800000,263.65,265.45,262.25,265.45,412.3
1640334600000,265.45,267.8,265.05,265.75,434.4
1640336400000,265.75,267.7,264.35,266.8,343.2
1640338200000,266.8,269.35,265.7,268.9,489.9
1640340000000,268.9,270.95,267.9,268.9,665.0
1640341800000,268.9,268.9,267.15,267.45,560.6
