date,open,high,low,close,volume
1650009600000,8.481,8.516,8.412,8.412,1915.8
1650011400000,8.412,8.458,8.373,8.414,2811.6
1650013200000,8.414,8.431,8.369,8.381,2135.3
1650015000000,8.381,8.425,8.354,8.364,1895.1
1650016800000,8.364,8.469,8.363,8.469,2934.7
1650018600000,8.469,8.513,8.42,8.456,3367.5
1650020400000,8.456,8.515,8.445,8.445,2129.8
1650022200000,8.445,8.457,8.403,8.443,1867.3
1650024000000,8.443,8.474,8.403,8.45,2510.6
1650025800000,8.45,8.46,8.366,8.417,2778.4
1650027600000,8.417,8.451,8.368,8.44,3998.2
1650029400000,8.44,8.46,8.292,8.303,5176.5
1650031200000,8.303,8.353,8.207,8.228,4027.2
1650033000000,8.228,8.431,8.218,8.356,4468.2
1650034800000,8.356,8.501,8.333,8.5,3542.2
1650036600000,8.5,8.501,8.411,8.422,3366.1
1650038400000,8.422,8.435,8.344,8.388,2694.4
1650040200000,8.388,8.477,8.385,8.457,2088.2
1650042000000,8.457,8.555,8.429,8.521,2815.6
1650043800000,8.521,8.554,8.467,8.513,3350.5
1650045600000,8.513,8.551,8.493,8.544,3264.1
1650047400000,8.544,8.544,8.408,8.415,2932.6
1650049200000,8.415,8.444,8.378,8.395,2817.6
1650051000000,8.395,8.417,8.375,8.387,2711.2
1650052800000,8.387,8.42,8.374,8.398,4010.2
1650054600000,8.398,8.478,8.37,8.432,4406.6
1650056400000,8.432,8.464,8.408,8.437,3584.6
1650058200000,8.437,8.44,8.403,8.404,3003.3
1650060000000,8.404,8.452,8.384,8.437,3193.1
1650061800000,8.437,8.479,8.416,8.467,2976.7
1650063600000,8.467,8.479,8.431,8.455,4838.3
1650065400000,8.455,8.508,8.44,8.471,4064.9
1650067200000,8.471,8.494,8.428,8.45,4548.2
1650069000000,8.45,8.493,8.428,8.479,5093.5
1650070800000,8.479,8.49,8.419,8.454,4159.5
1650072600000,8.454,8.468,8.433,8.451,4184.3
1650074400000,8.451,8.453,8.379,8.402,2901.5
1650076200000,8.402,8.416,8.383,8.383,1809.0
1650078000000,8.383,8.383,8.304,8.343,2939.1
1650079800000,8.343,8.364,8.32,8.33,3383.7
1650081600000,8.33,8.344,8.252,8.337,2928.3
1650083400000,8.337,8.385,8.337,8.343,2569.6
1650085200000,8.343,8.381,8.326,8.36,3931.8
1650087000000,8.36,8.378,8.328,8.374,4137.6
1650088800000,8.374,8.374,8.343,8.351,2994.0
1650090600000,8.351,8.412,8.341,8.412,2384.2
1650092400000,8.412,8.431,8.361,8.385,2337.5
1650094200000,8.385,8.388,8.327,8.341,2267.6
1650096000000,8.341,8.409,8.305,8.377,3260.7
1650097800000,8.377,8.377,8.315,8.331,4573.3
1650099600000,8.331,8.34,8.281,8.304,3541.5
1650101400000,8.304,8.306,8.262,8.296,3710.4
1650103200000,8.296,8.334,8.277,8.305,3038.7
1650105000000,8.305,8.311,8.238,8.256,2021.0
1650106800000,8.256,8.276,8.224,8.239,2841.8
1650108600000,8.239,8.266,8.126,8.15,3509.5
1650110400000,8.15,8.172,8.032,8.056,2739.0
1650112200000,8.056,8.095,8.056,8.086,2052.4
1650114000000,8.086,8.102,8.038,8.05,2227.5
1650115800000,8.05,8.061,7.97,7.984,3254.6
1650117600000,7.984,8.007,7.927,8.007,3132.6
1650119400000,8.007,8.008,7.97,7.986,2758.1
1650121200000,7.986,8.032,7.871,7.912,2610.6
1650123000000,7.912,7.927,7.806,7.85,2394.7
1650124800000,7.85,7.934,7.844,7.924,1862.4
1650126600000,7.924,7.968,7.867,7.895,1427.1
1650128400000,7.895,7.909,7.827,7.846,3381.2
1650130200000,7.846,7.883,7.834,7.874,3988.2
1650132000000,7.874,7.889,7.831,7.861,2616.7
1650133800000,7.861,7.897,7.849,7.897,1570.5
1650135600000,7.897,7.914,7.843,7.872,2976.7
1650137400000,7.872,7.893,7.856,7.856,3654.6
1650139200000,7.856,7.924,7.855,7.92,2877.0
1650141000000,7.92,7.951,7.896,7.9,2807.8
1650142800000,7.9,7.948,7.9,7.941,2495.6
1650144600000,7.941,7.967,7.927,7.955,2813.4
1650146400000,7.955,8.012,7.955,8.0,3450.0
1650148200000,8.0,8.006,7.97,7.971,3885.4
1650150000000,7.971,7.994,7.916,7.986,3125.7
1650151800000,7.986,8.017,7.969,7.983,2357.3
1650153600000,7.983,7.992,7.926,7.959,2859.0
1650155400000,7.959,7.96,7.907,7.934,2871.6
1650157200000,7.934,7.947,7.911,7.923,4064.6
1650159000000,7.923,7.958,7.915,7.932,4308.6
1650160800000,7.932,7.937,7.829,7.832,3124.0
1650162600000,7.832,7.885,7.812,7.867,2677.6
1650164400000,7.867,7.887,7.826,7.877,2992.3
1650166200000,7.877,7.896,7.865,7.868,3556.0
1650168000000,7.868,7.949,7.862,7.947,3810.6
1650169800000,7.947,7.983,7.925,7.942,4918.3
1650171600000,7.942,8.031,7.924,8.026,3201.0
1650173400000,8.026,8.068,8.014,8.055,3301.0
1650175200000,8.055,8.117,8.054,8.113,4299.2
1650177000000,8.113,8.15,8.092,8.108,4375.8
1650178800000,8.108,8.125,8.024,8.038,3091.2
1650180600000,8.038,8.137,8.031,8.114,2529.6
1650182400000,8.114,8.154,8.11,8.125,2097.2
1650184200000,8.125,8.143,8.056,8.071,1864.4
1650186000000,8.071,8.17,8.071,8.112,3074.6
1650187800000,8.112,8.131,8.086,8.092,3693.1
1650189600000,8.092,8.127,8.084,8.086,3766.7
1650191400000,8.086,8.087,8.053,8.072,3724.7
1650193200000,8.072,8.086,8.008,8.023,2828.3
1650195000000,8.023,8.086,8.016,8.072,1834.2
