date,open,high,low,close,volume
1712845800000,704.17,704.36,697.93,699.16,7.666
1712847600000,699.16,706.49,670.88,671.51,1428.629
1712849400000,671.51,672.18,626.06,647.24,2820.765
1712851200000,647.24,658.77,621.45,625.37,1608.67
1712853000000,625.37,633.29,618.87,629.88,1847.278
1712854800000,629.88,649.01,629.05,646.54,1227.647
1712856600000,646.54,647.44,633.89,635.5,1836.401
1712858400000,635.5,647.41,632.86,644.45,1184.441
1712860200000,644.45,646.15,632.87,637.24,1247.998
1712862000000,637.24,637.45,622.92,632.0,1648.56
1712863800000,632.0,643.59,631.44,638.96,2124.317
1712865600000,638.96,643.13,631.99,642.76,1640.753
1712867400000,642.76,653.06,639.75,651.72,2568.768
1712869200000,651.72,670.91,641.82,656.67,3877.405
1712871000000,656.67,664.48,645.48,651.02,2780.579
1712872800000,651.02,651.02,622.98,628.4,4130.9
1712874600000,628.4,635.51,624.92,634.57,1648.574
1712876400000,634.57,638.23,626.59,628.46,1265.902
1712878200000,628.46,635.71,623.06,623.67,1438.219
1712880000000,623.67,626.61,605.82,622.21,1399.443
1712881800000,622.21,638.97,616.66,633.6,692.294
1712883600000,633.6,633.6,618.14,624.13,488.555
1712885400000,624.13,625.9,611.8,614.18,429.812
1712887200000,614.18,622.3,609.87,618.99,903.29
1712889000000,618.99,622.51,615.39,617.44,467.424
1712890800000,617.44,618.64,614.88,616.07,96.509
1712892600000,616.07,616.24,603.38,614.05,495.864
1712894400000,614.05,614.09,603.31,603.65,299.006
1712896200000,603.65,629.8,596.6,622.89,1430.882
1712898000000,622.89,639.1,617.56,631.1,731.757
1712899800000,631.1,634.61,629.28,630.16,113.516
1712901600000,630.16,644.59,627.42,637.29,1057.486
1712903400000,637.29,638.04,623.08,624.71,497.341
1712905200000,624.71,639.03,624.71,637.37,217.831
1712907000000,637.37,644.12,632.91,638.41,420.905
1712908800000,638.41,642.41,631.25,641.74,417.657
1712910600000,641.74,643.73,628.16,631.51,1032.075
1712912400000,631.51,637.94,628.98,634.14,405.481
1712914200000,634.14,641.45,617.5,624.67,1737.293
1712916000000,624.67,626.8,618.51,623.2,235.475
1712917800000,623.2,623.71,615.15,621.43,446.837
1712919600000,621.43,621.9,613.56,614.42,387.38
1712921400000,614.42,618.83,613.6,614.72,249.278
1712923200000,614.72,614.93,603.07,603.41,1102.354
1712925000000,603.41,603.94,586.9,594.33,1601.859
1712926800000,594.33,595.19,556.64,571.87,2679.177
1712928600000,571.87,585.13,566.99,571.91,2025.013
1712930400000,571.91,588.64,570.76,584.66,941.084
1712932200000,584.66,587.21,574.28,579.39,1032.602
1712934000000,579.39,583.83,569.15,573.07,861.325
1712935800000,573.07,578.25,567.85,572.82,1075.899
1712937600000,572.82,586.9,572.73,584.0,993.056
1712939400000,584.0,599.5,576.63,579.79,1298.49
1712941200000,579.79,585.12,556.06,566.99,1091.768
1712943000000,566.99,582.86,565.47,575.39,1163.7
1712944800000,575.39,583.25,572.44,576.95,307.684
1712946600000,576.95,577.08,467.29,534.35,6937.22
1712948400000,534.35,546.07,524.7,534.22,2005.646
1712950200000,534.22,541.29,523.61,537.91,1130.626
1712952000000,537.91,538.35,523.87,533.06,325.675
1712953800000,533.06,549.72,531.23,546.71,459.724
1712955600000,546.71,549.18,539.62,547.66,126.011
1712957400000,547.66,553.51,546.45,550.29,101.436
1712959200000,550.29,552.34,545.26,545.26,69.35
1712961000000,545.26,548.22,539.79,547.24,162.751
1712962800000,547.24,547.24,536.79,543.7,233.756
1712964600000,543.7,544.89,536.31,538.03,128.315
1712966400000,538.03,546.67,537.45,543.9,72.961
1712968200000,543.9,545.09,530.29,532.28,168.422
1712970000000,532.28,534.96,528.15,529.92,390.758
1712971800000,529.92,530.13,509.51,509.51,645.364
1712973600000,509.51,530.6,509.51,529.64,320.753
1712975400000,529.64,534.06,525.7,528.86,140.086
1712977200000,528.86,537.83,527.78,536.51,128.514
1712979000000,536.51,551.88,536.48,549.52,182.241
1712980800000,549.52,551.89,539.91,545.4,103.599
1712982600000,545.4,559.74,541.99,553.91,357.354
1712984400000,553.91,571.12,552.57,557.41,777.51
1712986200000,557.41,557.42,549.36,551.43,128.544
1712988000000,551.43,556.24,544.36,548.53,176.989
1712989800000,548.53,555.93,545.54,554.3,134.289
1712991600000,554.3,554.7,542.97,547.71,191.867
1712993400000,547.71,548.19,542.01,542.71,101.746
1712995200000,542.71,543.63,531.84,542.73,385.662
1712997000000,542.73,550.46,535.69,536.32,87.832
1712998800000,536.32,544.48,536.26,542.33,93.698
1713000600000,542.33,545.57,539.29,541.18,82.075
1713002400000,541.18,547.72,540.28,547.07,55.213
1713004200000,547.07,550.7,544.14,546.9,144.771
1713006000000,546.9,551.78,541.76,541.93,178.097
1713007800000,541.93,544.29,533.22,533.22,142.217
1713009600000,533.22,539.47,531.57,533.7,164.529
1713011400000,533.7,536.99,526.71,535.79,160.458
1713013200000,535.79,536.44,531.39,533.7,106.728
1713015000000,533.7,533.79,520.7,523.54,243.425
1713016800000,523.54,525.25,514.34,519.43,200.591
1713018600000,519.43,519.45,510.0,514.19,307.125
1713020400000,514.19,521.61,509.38,521.61,113.031
1713022200000,521.61,521.83,509.92,510.07,164.181
1713024000000,510.07,510.5,500.17,501.74,611.358
1713025800000,501.74,507.37,500.01,501.5,218.388
1713027600000,501.5,501.59,481.25,483.09,585.306
1713029400000,483.09,496.15,482.69,488.96,650.671
1713031200000,488.96,496.3,484.09,495.58,405.965
1713033000000,495.58,529.9,492.6,524.5,1467.618
1713034800000,524.5,524.5,506.32,512.76,683.868
1713036600000,512.76,519.79,455.65,469.49,3370.81
1713038400000,469.49,475.55,388.0,439.83,9007.191
1713040200000,439.83,475.02,439.71,449.16,2523.629
1713042000000,449.16,463.65,438.15,442.84,907.687
1713043800000,442.84,474.43,442.77,474.43,642.382
1713045600000,474.43,488.95,461.99,488.95,789.712
1713047400000,488.95,530.27,485.22,524.62,893.462
1713049200000,524.62,539.3,518.18,523.6,1827.85
1713051000000,523.6,527.15,495.21,509.96,5464.923
1713052800000,509.96,510.74,499.03,501.32,185.049
1713054600000,501.32,513.7,493.68,494.1,547.83
1713056400000,494.1,496.07,483.11,493.94,806.331
1713058200000,493.94,505.21,485.93,487.74,247.803
1713060000000,487.74,488.98,478.48,482.1,244.331
1713061800000,482.1,490.73,479.81,486.3,225.085
1713063600000,486.3,487.22,471.07,475.16,242.043
1713065400000,475.16,487.52,474.63,486.02,161.338
1713067200000,486.02,498.04,482.68,496.73,174.652
1713069000000,496.73,496.79,488.98,496.32,269.763
1713070800000,496.32,508.4,494.3,501.44,325.0
1713072600000,501.44,516.0,499.8,507.49,770.265
