date,open,high,low,close,volume
1565409600000,211.53,211.73,211.49,211.56,964.0
1565424000000,211.56,213.18,202.63,204.02,4097.28
1565438400000,204.02,206.92,203.01,205.46,4662.4
1565452800000,205.46,207.42,203.11,206.49,3746.54
1565467200000,206.49,207.77,205.37,206.39,2881.98
1565481600000,206.39,212.31,206.08,211.03,3867.5
1565496000000,211.03,211.81,209.67,210.66,2688.62
1565510400000,210.66,211.64,206.67,211.49,3451.08
1565524800000,211.49,211.55,209.53,210.33,2600.62
1565539200000,210.33,216.46,210.29,215.46,3494.14
1565553600000,215.46,216.96,213.38,216.18,3365.2
1565568000000,216.18,216.81,212.98,213.91,2786.53
1565582400000,213.91,214.53,211.59,212.98,2805.88
1565596800000,212.98,213.02,209.97,210.96,5781.52
1565611200000,210.96,212.67,209.8,212.06,4646.15
1565625600000,212.06,213.44,211.61,212.49,5317.78
1565640000000,212.49,213.06,210.97,211.61,5145.63
1565654400000,211.61,211.7,208.5,209.99,5358.76
1565668800000,209.99,210.45,209.04,210.08,4718.14
1565683200000,210.08,211.72,208.47,211.38,5088.53
1565697600000,211.38,211.64,204.25,205.9,6461.86
1565712000000,205.9,209.08,205.58,208.18,4770.04
1565726400000,208.18,210.72,206.91,209.29,4343.96
1565740800000,209.29,209.86,206.85,208.7,5098.91
1565755200000,208.7,208.99,208.03,208.4,4567.49
1565769600000,208.4,208.45,205.87,207.27,5225.64
1565784000000,207.27,208.04,204.57,206.25,5778.5
1565798400000,206.25,207.14,182.85,186.5,12697.74
1565812800000,186.5,190.54,185.21,187.13,10517.15
1565827200000,187.13,189.88,184.31,184.91,9087.88
1565841600000,184.91,185.77,174.83,181.1,14041.31
1565856000000,181.1,185.57,180.48,185.2,6638.15
1565870400000,185.2,187.34,181.29,186.52,6374.0
1565884800000,186.52,188.01,182.77,184.73,7212.0
1565899200000,184.73,189.45,184.27,187.92,6203.91
1565913600000,187.92,188.37,185.56,186.99,3633.11
1565928000000,186.99,187.18,180.07,182.06,7525.73
1565942400000,182.06,185.98,178.76,183.67,6661.84
1565956800000,183.67,186.73,182.18,185.8,4959.31
1565971200000,185.8,186.71,184.33,185.66,4035.51
1565985600000,185.66,187.71,184.39,184.84,4147.97
1566000000000,184.84,185.4,182.98,184.0,3514.89
1566014400000,184.0,185.74,183.79,184.81,3317.2
1566028800000,184.81,186.39,184.37,185.07,5198.29
1566043200000,185.07,185.27,183.44,184.21,5648.99
1566057600000,184.21,185.22,182.09,182.87,6494.6
1566072000000,182.87,186.99,182.48,185.48,6387.37
1566086400000,185.48,186.85,183.57,183.9,5401.27
1566100800000,183.9,185.54,183.34,184.75,4552.74
1566115200000,184.75,190.45,184.44,189.9,4281.67
1566129600000,189.9,195.79,189.9,193.95,5188.81
1566144000000,193.95,197.82,193.95,195.84,5559.21
1566158400000,195.84,197.06,194.02,194.32,3433.78
1566172800000,194.32,196.9,192.7,196.48,4004.76
1566187200000,196.48,201.31,194.25,201.16,3924.82
1566201600000,201.16,202.45,198.59,200.05,5340.58
1566216000000,200.05,202.22,198.97,201.38,5019.98
1566230400000,201.38,202.13,196.18,198.13,5019.9
1566244800000,198.13,203.56,198.02,202.14,3918.05
1566259200000,202.14,202.81,198.2,198.73,4873.09
1566273600000,198.73,200.52,198.32,200.15,4248.04
1566288000000,200.15,200.19,194.48,197.47,11105.12
1566302400000,197.47,197.85,195.0,197.5,7929.87
1566316800000,197.5,198.78,196.03,196.29,5865.41
1566331200000,196.29,198.54,194.74,196.52,7118.32
1566345600000,196.52,197.11,190.37,191.03,16706.04
1566360000000,191.03,191.04,186.55,186.93,6944.57
