date,open,high,low,close,volume
1718107200000,3.404,3.975,3.387,3.713,2921085.0
1718121600000,3.713,4.529,3.489,4.305,12796395.0
1718136000000,4.305,4.355,3.894,4.165,8535513.0
1718150400000,4.165,4.241,3.532,3.811,4592649.0
1718164800000,3.811,4.198,3.751,4.023,4294761.0
1718179200000,4.023,4.714,3.966,4.619,5468776.0
1718193600000,4.619,6.0,4.524,5.552,12649621.0
1718208000000,5.552,5.952,5.364,5.806,5349050.0
1718222400000,5.806,6.528,5.225,5.685,5641229.0
1718236800000,5.685,6.178,5.358,5.666,5425234.0
1718251200000,5.666,6.38,5.635,6.183,4702372.0
1718265600000,6.183,6.183,5.29,5.463,6509187.0
1718280000000,5.463,5.694,4.666,4.756,8153648.0
1718294400000,4.756,4.988,4.659,4.733,2791213.0
1718308800000,4.733,5.058,4.643,4.956,1836469.0
1718323200000,4.956,4.967,4.468,4.785,2493076.0
1718337600000,4.785,5.43,4.771,5.2,3743182.0
1718352000000,5.2,5.389,4.852,5.079,2709627.0
1718366400000,5.079,5.325,5.014,5.128,2300088.0
1718380800000,5.128,5.201,4.83,4.937,2568146.0
1718395200000,4.937,5.301,4.937,5.129,1915356.0
1718409600000,5.129,5.546,5.058,5.21,2637324.0
1718424000000,5.21,5.242,4.925,5.042,1760393.0
1718438400000,5.042,5.285,4.997,5.184,1186762.0
1718452800000,5.184,5.494,5.181,5.271,2441212.0
1718467200000,5.271,5.457,5.104,5.15,1027759.0
1718481600000,5.15,5.278,5.103,5.263,538123.0
1718496000000,5.263,5.509,5.206,5.438,1524356.0
1718510400000,5.438,5.83,5.206,5.505,3070706.0
1718524800000,5.505,5.733,5.45,5.547,2233800.0
1718539200000,5.547,5.607,5.365,5.444,1894365.0
1718553600000,5.444,5.477,5.273,5.452,1135929.0
1718568000000,5.452,5.484,5.303,5.33,674761.0
1718582400000,5.33,5.397,4.852,4.881,2045787.0
1718596800000,4.881,4.907,4.685,4.736,1749993.0
1718611200000,4.736,4.771,4.468,4.52,2254969.0
1718625600000,4.52,4.553,4.36,4.42,2265656.0
1718640000000,4.42,4.479,4.203,4.356,1299894.0
1718654400000,4.356,4.356,4.176,4.257,912740.0
1718668800000,4.257,4.292,3.546,4.015,3584018.0
1718683200000,4.015,4.064,3.88,3.891,1143444.0
1718697600000,3.891,3.985,3.792,3.93,1269746.0
1718712000000,3.93,3.971,3.734,3.792,1541270.0
1718726400000,3.792,3.842,3.671,3.779,894128.0
1718740800000,3.779,3.87,3.686,3.805,569912.0
1718755200000,3.805,4.108,3.687,3.905,1485016.0
1718769600000,3.905,4.056,3.886,3.929,1276242.0
1718784000000,3.929,3.933,3.725,3.797,899844.0
1718798400000,3.797,3.961,3.791,3.861,1117316.0
1718812800000,3.861,3.972,3.836,3.897,412541.0
1718827200000,3.897,3.944,3.776,3.838,266894.0
1718841600000,3.838,3.985,3.782,3.95,661071.0
1718856000000,3.95,4.228,3.868,4.228,1224437.0
1718870400000,4.228,4.349,4.081,4.145,1735361.0
1718884800000,4.145,4.156,3.933,3.994,1402764.0
1718899200000,3.994,4.123,3.875,4.079,688323.0
1718913600000,4.079,4.12,3.981,3.984,334443.0
1718928000000,3.984,4.147,3.893,4.011,735273.0
1718942400000,4.011,4.057,3.75,3.772,1041815.0
1718956800000,3.772,3.802,3.679,3.726,660250.0
1718971200000,3.726,3.783,3.595,3.744,1052822.0
1718985600000,3.744,3.837,3.667,3.753,456465.0
1719000000000,3.753,3.794,3.693,3.701,164130.0
1719014400000,3.701,3.744,3.553,3.737,778455.0
1719028800000,3.737,3.769,3.691,3.725,389857.0
1719043200000,3.725,3.807,3.697,3.761,348456.0
1719057600000,3.761,3.849,3.698,3.824,391329.0
1719072000000,3.824,3.844,3.747,3.757,143531.0
1719086400000,3.757,3.765,3.7,3.709,100548.0
1719100800000,3.709,3.795,3.659,3.778,242695.0
1719115200000,3.778,3.799,3.681,3.702,194872.0
1719129600000,3.702,3.766,3.468,3.548,836244.0
1719144000000,3.548,3.592,3.445,3.458,418154.0
1719158400000,3.458,3.488,3.412,3.444,275135.0
1719172800000,3.444,3.448,3.291,3.389,410745.0
1719187200000,3.389,3.408,3.196,3.242,418051.0
1719201600000,3.242,3.315,3.151,3.205,623237.0
1719216000000,3.205,3.28,3.05,3.25,793259.0
