date,open,high,low,close,volume
1718116800000,3.404,3.443,3.404,3.42,412.0
1718117100000,3.42,3.443,3.387,3.393,870.0
1718117400000,3.393,3.456,3.39,3.455,871.0
1718117700000,3.455,3.55,3.44,3.55,1301.0
1718118000000,3.55,3.651,3.528,3.58,30290.0
1718118300000,3.58,3.59,3.469,3.492,69869.0
1718118600000,3.492,3.556,3.455,3.535,100374.0
1718118900000,3.535,3.669,3.498,3.651,106954.0
1718119200000,3.651,3.84,3.624,3.808,202145.0
1718119500000,3.808,3.814,3.687,3.766,296428.0
1718119800000,3.766,3.825,3.688,3.803,364023.0
1718120100000,3.803,3.951,3.798,3.91,501152.0
1718120400000,3.91,3.975,3.803,3.804,416580.0
1718120700000,3.804,3.933,3.761,3.817,356848.0
1718121000000,3.817,3.861,3.685,3.716,242765.0
1718121300000,3.716,3.77,3.68,3.713,230203.0
1718121600000,3.713,3.775,3.559,3.753,455114.0
1718121900000,3.753,3.754,3.663,3.73,172689.0
1718122200000,3.73,3.772,3.694,3.725,160863.0
1718122500000,3.725,3.814,3.721,3.758,313027.0
1718122800000,3.758,3.762,3.665,3.711,264277.0
1718123100000,3.711,3.713,3.625,3.662,320938.0
1718123400000,3.662,3.721,3.653,3.68,245783.0
1718123700000,3.68,3.694,3.584,3.591,258785.0
1718124000000,3.591,3.66,3.549,3.638,331510.0
1718124300000,3.638,3.674,3.579,3.623,280527.0
1718124600000,3.623,3.644,3.581,3.592,153232.0
1718124900000,3.592,3.652,3.503,3.532,288419.0
1718125200000,3.532,3.59,3.489,3.544,361465.0
1718125500000,3.544,3.585,3.533,3.557,217262.0
1718125800000,3.557,3.574,3.52,3.549,230948.0
1718126100000,3.549,3.619,3.527,3.617,340998.0
1718126400000,3.617,3.638,3.577,3.6,197837.0
1718126700000,3.6,3.637,3.582,3.635,133494.0
1718127000000,3.635,3.745,3.635,3.689,362991.0
1718127300000,3.689,3.706,3.652,3.703,110571.0
1718127600000,3.703,3.706,3.666,3.671,166187.0
1718127900000,3.671,3.671,3.589,3.597,244772.0
1718128200000,3.597,3.647,3.585,3.646,220077.0
1718128500000,3.646,3.677,3.619,3.625,175907.0
1718128800000,3.625,3.685,3.622,3.66,184154.0
1718129100000,3.66,3.66,3.613,3.628,139863.0
1718129400000,3.628,3.628,3.589,3.613,215035.0
1718129700000,3.613,3.639,3.584,3.593,164611.0
1718130000000,3.593,3.65,3.592,3.616,225646.0
1718130300000,3.616,3.703,3.613,3.659,209810.0
1718130600000,3.659,3.709,3.659,3.702,191361.0
1718130900000,3.702,3.788,3.7,3.731,233318.0
1718131200000,3.731,3.935,3.731,3.886,423548.0
1718131500000,3.886,3.892,3.814,3.862,223650.0
1718131800000,3.862,3.945,3.828,3.923,219920.0
1718132100000,3.923,3.974,3.887,3.934,290145.0
1718132400000,3.934,4.097,3.869,4.035,388890.0
1718132700000,4.035,4.363,4.027,4.244,642397.0
1718133000000,4.244,4.433,4.218,4.357,416418.0
1718133300000,4.357,4.407,4.206,4.262,346168.0
1718133600000,4.262,4.265,4.066,4.157,377510.0
1718133900000,4.157,4.235,4.117,4.176,302772.0
1718134200000,4.176,4.281,4.17,4.265,273579.0
1718134500000,4.265,4.407,4.265,4.392,327637.0
1718134800000,4.392,4.475,4.309,4.419,251610.0
1718135100000,4.419,4.529,4.258,4.287,388292.0
1718135400000,4.287,4.346,4.255,4.298,197609.0
1718135700000,4.298,4.33,4.237,4.305,154779.0
1718136000000,4.305,4.34,4.159,4.168,195812.0
1718136300000,4.168,4.251,4.168,4.214,129404.0
1718136600000,4.214,4.248,4.166,4.241,112409.0
1718136900000,4.241,4.243,4.113,4.163,170716.0
1718137200000,4.163,4.18,4.028,4.059,249984.0
1718137500000,4.059,4.077,3.94,3.964,271236.0
1718137800000,3.964,4.025,3.894,3.927,316194.0
1718138100000,3.927,4.128,3.927,4.103,450623.0
1718138400000,4.103,4.134,4.058,4.111,350933.0
1718138700000,4.111,4.113,4.013,4.054,204798.0
1718139000000,4.054,4.066,3.995,4.028,113630.0
1718139300000,4.028,4.106,4.019,4.069,122304.0
1718139600000,4.069,4.22,4.065,4.201,221526.0
1718139900000,4.201,4.223,4.16,4.177,73677.0
1718140200000,4.177,4.206,4.129,4.189,97485.0
1718140500000,4.189,4.198,4.103,4.111,113795.0
1718140800000,4.111,4.187,4.109,4.178,115047.0
1718141100000,4.178,4.216,4.153,4.185,95352.0
1718141400000,4.185,4.185,4.129,4.165,58169.0
1718141700000,4.165,4.173,4.112,4.131,88681.0
1718142000000,4.131,4.156,4.018,4.046,135026.0
1718142300000,4.046,4.069,3.946,4.061,144062.0
1718142600000,4.061,4.113,4.026,4.082,143264.0
1718142900000,4.082,4.117,4.045,4.087,107957.0
1718143200000,4.087,4.098,3.965,4.03,151209.0
1718143500000,4.03,4.039,3.935,4.025,279324.0
1718143800000,4.025,4.028,3.981,3.992,118934.0
1718144100000,3.992,4.104,3.981,4.074,211489.0
1718144400000,4.074,4.192,4.061,4.16,197083.0
1718144700000,4.16,4.174,4.109,4.132,126752.0
1718145000000,4.132,4.142,4.031,4.083,131170.0
1718145300000,4.083,4.116,4.059,4.083,149603.0
1718145600000,4.083,4.173,4.082,4.138,191250.0
1718145900000,4.138,4.165,4.114,4.158,79457.0
1718146200000,4.158,4.3,4.085,4.246,259836.0
1718146500000,4.246,4.283,4.192,4.272,261288.0
1718146800000,4.272,4.275,4.205,4.251,163147.0
1718147100000,4.251,4.345,4.243,4.291,598212.0
1718147400000,4.291,4.323,4.249,4.288,156326.0
1718147700000,4.288,4.33,4.247,4.303,109273.0
1718148000000,4.303,4.355,4.262,4.266,177170.0
1718148300000,4.266,4.297,4.22,4.261,162094.0
1718148600000,4.261,4.261,4.205,4.228,102101.0
1718148900000,4.228,4.27,4.203,4.253,95781.0
1718149200000,4.253,4.258,4.087,4.116,314487.0
1718149500000,4.116,4.149,4.065,4.135,172553.0
1718149800000,4.135,4.196,4.123,4.164,135386.0
1718150100000,4.164,4.187,4.133,4.165,109504.0
1718150400000,4.165,4.241,4.16,4.194,113525.0
1718150700000,4.194,4.194,4.117,4.143,76046.0
1718151000000,4.143,4.143,4.016,4.04,87870.0
1718151300000,4.04,4.155,4.03,4.134,87434.0
1718151600000,4.134,4.199,4.085,4.107,78670.0
1718151900000,4.107,4.142,4.064,4.104,52187.0
1718152200000,4.104,4.143,4.088,4.096,22010.0
1718152500000,4.096,4.123,4.062,4.104,31071.0
1718152800000,4.104,4.111,4.055,4.072,22684.0
1718153100000,4.072,4.072,3.933,3.971,113106.0
1718153400000,3.971,3.98,3.882,3.945,137761.0
1718153700000,3.945,4.059,3.94,4.003,118711.0
1718154000000,4.003,4.016,3.813,3.828,230587.0
1718154300000,3.828,3.895,3.814,3.815,123056.0
1718154600000,3.815,3.882,3.804,3.832,104961.0
1718154900000,3.832,3.88,3.756,3.787,154297.0
1718155200000,3.787,3.796,3.661,3.684,210231.0
1718155500000,3.684,3.734,3.648,3.713,133138.0
1718155800000,3.713,3.713,3.532,3.607,213898.0
1718156100000,3.607,3.642,3.555,3.618,88255.0
1718156400000,3.618,3.663,3.604,3.648,133310.0
1718156700000,3.648,3.795,3.62,3.758,205446.0
1718157000000,3.758,3.779,3.696,3.719,114218.0
1718157300000,3.719,4.04,3.698,3.915,223851.0
1718157600000,3.915,3.964,3.813,3.86,212405.0
1718157900000,3.86,3.927,3.836,3.836,69448.0
1718158200000,3.836,3.88,3.81,3.84,61936.0
1718158500000,3.84,3.92,3.825,3.856,73210.0
1718158800000,3.856,3.875,3.767,3.79,44667.0
1718159100000,3.79,3.813,3.741,3.806,35749.0
1718159400000,3.806,3.81,3.733,3.756,50499.0
1718159700000,3.756,3.758,3.695,3.743,57981.0
1718160000000,3.743,3.816,3.742,3.78,81512.0
1718160300000,3.78,3.88,3.748,3.853,96647.0
1718160600000,3.853,3.875,3.813,3.826,45356.0
1718160900000,3.826,3.832,3.782,3.811,34437.0
1718161200000,3.811,3.869,3.782,3.843,83560.0
1718161500000,3.843,3.875,3.81,3.816,40906.0
1718161800000,3.816,3.834,3.814,3.822,25948.0
1718162100000,3.822,3.853,3.746,3.851,199989.0
1718162400000,3.851,3.854,3.786,3.81,98698.0
1718162700000,3.81,3.814,3.784,3.787,30815.0
1718163000000,3.787,3.819,3.761,3.812,71042.0
1718163300000,3.812,3.812,3.767,3.768,44967.0
1718163600000,3.768,3.795,3.76,3.77,30117.0
1718163900000,3.77,3.78,3.736,3.75,97041.0
1718164200000,3.75,3.853,3.739,3.815,104756.0
1718164500000,3.815,3.833,3.794,3.811,24640.0
1718164800000,3.811,3.866,3.784,3.844,69253.0
1718165100000,3.844,3.927,3.844,3.889,166108.0
1718165400000,3.889,3.947,3.878,3.887,64582.0
1718165700000,3.887,3.974,3.883,3.921,138338.0
1718166000000,3.921,3.921,3.841,3.881,111781.0
1718166300000,3.881,3.948,3.846,3.912,70637.0
1718166600000,3.912,3.967,3.878,3.885,152606.0
1718166900000,3.885,3.906,3.859,3.884,42700.0
1718167200000,3.884,3.915,3.871,3.905,27712.0
1718167500000,3.905,3.905,3.85,3.854,45288.0
1718167800000,3.854,3.859,3.802,3.852,78665.0
1718168100000,3.852,3.855,3.808,3.826,31219.0
1718168400000,3.826,3.839,3.751,3.761,74284.0
1718168700000,3.761,3.792,3.758,3.763,31314.0
1718169000000,3.763,3.859,3.763,3.852,154770.0
1718169300000,3.852,3.894,3.83,3.876,73348.0
1718169600000,3.876,3.931,3.871,3.885,43582.0
1718169900000,3.885,3.907,3.871,3.905,49501.0
1718170200000,3.905,3.959,3.876,3.916,55960.0
1718170500000,3.916,3.925,3.876,3.917,71440.0
1718170800000,3.917,4.185,3.902,4.09,284869.0
1718171100000,4.09,4.151,4.022,4.061,188428.0
1718171400000,4.061,4.086,3.998,4.012,82785.0
1718171700000,4.012,4.042,4.009,4.031,34445.0
1718172000000,4.031,4.034,3.952,4.02,64392.0
1718172300000,4.02,4.093,4.012,4.073,135263.0
1718172600000,4.073,4.08,4.026,4.074,109684.0
1718172900000,4.074,4.155,4.043,4.123,187333.0
1718173200000,4.123,4.198,4.099,4.165,202896.0
1718173500000,4.165,4.166,4.117,4.128,71018.0
1718173800000,4.128,4.137,4.045,4.078,104494.0
1718174100000,4.078,4.148,4.063,4.129,106642.0
1718174400000,4.129,4.148,4.075,4.093,57527.0
1718174700000,4.093,4.167,4.061,4.153,98943.0
1718175000000,4.153,4.156,4.12,4.144,47040.0
1718175300000,4.144,4.144,4.068,4.08,84959.0
1718175600000,4.08,4.105,4.044,4.05,79587.0
1718175900000,4.05,4.083,4.02,4.065,49489.0
1718176200000,4.065,4.07,3.982,4.041,173073.0
1718176500000,4.041,4.067,3.988,4.016,62170.0
1718176800000,4.016,4.045,4.01,4.018,21260.0
1718177100000,4.018,4.046,3.954,3.974,76960.0
1718177400000,3.974,4.025,3.953,3.988,90518.0
1718177700000,3.988,4.021,3.957,4.021,47143.0
1718178000000,4.021,4.033,4.0,4.005,65623.0
1718178300000,4.005,4.026,3.965,3.979,47462.0
1718178600000,3.979,3.992,3.928,3.973,133541.0
1718178900000,3.973,4.031,3.972,4.023,34129.0
1718179200000,4.023,4.118,4.0,4.111,131873.0
1718179500000,4.111,4.119,4.076,4.105,104878.0
1718179800000,4.105,4.114,4.067,4.081,54887.0
1718180100000,4.081,4.132,4.059,4.104,60266.0
1718180400000,4.104,4.104,4.067,4.078,35221.0
1718180700000,4.078,4.088,4.015,4.032,70373.0
1718181000000,4.032,4.056,3.995,4.04,75477.0
1718181300000,4.04,4.045,4.005,4.019,33808.0
1718181600000,4.019,4.034,3.978,4.018,80111.0
1718181900000,4.018,4.018,3.971,4.004,44281.0
1718182200000,4.004,4.017,3.981,4.009,25542.0
1718182500000,4.009,4.009,3.978,3.997,32124.0
1718182800000,3.997,4.081,3.98,4.047,112454.0
1718183100000,4.047,4.072,4.038,4.04,39348.0
1718183400000,4.04,4.07,4.04,4.061,29434.0
1718183700000,4.061,4.084,4.001,4.034,112558.0
1718184000000,4.034,4.039,3.998,4.014,85937.0
1718184300000,4.014,4.023,3.978,4.003,62739.0
1718184600000,4.003,4.016,3.966,4.0,64826.0
1718184900000,4.0,4.049,3.998,4.042,72321.0
1718185200000,4.042,4.05,4.024,4.044,24237.0
1718185500000,4.044,4.044,3.998,4.02,20812.0
